Showing data for:
Marketplace,amazon.ae
Date,2025-12-06 - 2026-01-06
Selected ASINSet,WJTP1
Currency,AED
Exclude Outliers,Yes


Report creation time,Jan 06 2026 13:39 +04:00

,Retail Net OPS,Retail Net Units,Retail Net GMS,Retail Net Spot CP,3P Net OPS,3P Net Units,3P Net GMS,3P Net Spot CP,All Net OPS,All Net Units,All Net GMS,All Net Spot CP
Selected period so far,193481.09000000003,9982,191494.41,-41121.931614,450238.81,33256,370257.57,0,643719.9,43238,561751.98,-41121.931614
Previous year,166220.93,8633,163557.71999999997,-49470.330969999995,106606.31000000003,8161,106401.72,0,272827.24000000005,16794,269959.44,-49470.330969999995
Changes from previous year,19.28%,18.60%,19.94%,15.34%,332.26%,313.47%,256.10%,N/A,141.65%,162.68%,113.07%,15.34%


Period,Merchant Type,Metric Type,Sat Dec 06 2025,Sun Dec 07 2025,Mon Dec 08 2025,Tue Dec 09 2025,Wed Dec 10 2025,Thu Dec 11 2025,Fri Dec 12 2025,Sat Dec 13 2025,Sun Dec 14 2025,Mon Dec 15 2025,Tue Dec 16 2025,Wed Dec 17 2025,Thu Dec 18 2025,Fri Dec 19 2025,Sat Dec 20 2025,Sun Dec 21 2025,Mon Dec 22 2025,Tue Dec 23 2025,Wed Dec 24 2025,Thu Dec 25 2025,Fri Dec 26 2025,Sat Dec 27 2025,Sun Dec 28 2025,Mon Dec 29 2025,Tue Dec 30 2025,Wed Dec 31 2025,Thu Jan 01 2026,Fri Jan 02 2026,Sat Jan 03 2026,Sun Jan 04 2026,Mon Jan 05 2026,Tue Jan 06 2026
Previous year Retail,Retail,NET_GMS,5982.9,4795.92,5253.27,4549.49,4143.79,4332.67,3967.71,4550.61,3973.44,5632.95,4412.6,4407.3,4852.57,4677.88,4669.97,4282.77,3993.07,3675.68,3756.28,4031.59,5512.92,5964.95,7543.35,7221.18,3378.94,8202.55,8155.76,5177.24,4656.29,5656.34,5979.44,6166.3
Previous year Retail,Retail,NET_SPOT_CP,-853.741,-1129.1480000000001,-1498.137,-1467.183,-1197.013,-1039.949,-1112.614,-1757.4699999999998,-1607.745,-1762.835,-1177.202,-1178.991,-1209.181,-1166.22,-1141.4879999999998,-1235.0430000000001,-989.7439999999999,-939.121,-705.517,-572.597,-871.4770000000001,-778.0160000000001,-1927.036,-1787.287,-1207.516,-4340.406036,-4340.3139360000005,-947.4348749999999,-2829.893068,-2321.6807129999997,-2475.414287,-1902.917055
Previous year 3P,3P,NET_OPS,3269.53,3522.6,3264.22,3161.35,3261.13,3432.44,3019.12,2921.65,3967.2,3153.92,3043.48,2765.68,2860.75,3112.25,3623.55,3338.65,3915.54,2551.79,2249.58,2336.44,3016.42,2261.74,2991.38,3583.09,2579.84,2818.48,3472.61,3650.04,4254.3,5986.53,4469.6,4751.41
Previous year 3P,3P,NET_UNITS,240,271,259,255,269,236,225,245,303,269,252,234,254,280,290,255,313,242,204,209,218,194,219,286,230,197,272,260,283,384,258,255
Previous year 3P,3P,NET_GMS,3239.36,3513.11,3280.07,3157.45,3258.2,3458.63,3015.15,2911.06,3951.95,3173.29,3041.27,2786.27,2862.54,3120.06,3619.16,3344.62,3934.19,2553.16,2252.63,2346.86,3017,2259.66,2999.35,3581.53,2589.59,2788.68,3466.13,3590.55,4222.7,5892.36,4458.99,4716.15
Previous year 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Previous year,All,NET_OPS,9539.49,8353.08,8553.8,7791.129999999999,7411.97,7806.3099999999995,7002.35,7624.460000000001,7975.59,8804.02,7493.43,7215.25,7790,7858.45,8288.89,7601.969999999999,7950.58,6259.7,6045.78,6405.83,8596.17,8290.65,10589.93,10777.54,5980.42,11396.56,11878.16,8942.220000000001,9012.34,11888.009999999998,10638.67,11064.49
Previous year,All,NET_UNITS,560,528,521,505,476,437,413,454,513,503,485,455,503,508,518,444,525,443,422,457,511,481,578,628,387,595,738,560,626,734,669,617
Previous year,All,NET_GMS,9222.26,8309.03,8533.34,7706.94,7401.99,7791.3,6982.860000000001,7461.67,7925.389999999999,8806.24,7453.870000000001,7193.57,7715.11,7797.9400000000005,8289.130000000001,7627.39,7927.26,6228.84,6008.91,6378.450000000001,8529.92,8224.61,10542.7,10802.710000000001,5968.530000000001,10991.23,11621.89,8767.79,8878.99,11548.7,10438.43,10882.45
Previous year,All,NET_SPOT_CP,-853.741,-1129.1480000000001,-1498.137,-1467.183,-1197.013,-1039.949,-1112.614,-1757.4699999999998,-1607.745,-1762.835,-1177.202,-1178.991,-1209.181,-1166.22,-1141.4879999999998,-1235.0430000000001,-989.7439999999999,-939.121,-705.517,-572.597,-871.4770000000001,-778.0160000000001,-1927.036,-1787.287,-1207.516,-4340.406036,-4340.3139360000005,-947.4348749999999,-2829.893068,-2321.6807129999997,-2475.414287,-1902.917055
