Showing data for:
Marketplace,amazon.ae
Date,2025-12-06 - 2026-01-06
Selected ASINSet,722XP
Currency,AED
Exclude Outliers,Yes


Report creation time,Jan 06 2026 13:39 +04:00

,Retail Net OPS,Retail Net Units,Retail Net GMS,Retail Net Spot CP,3P Net OPS,3P Net Units,3P Net GMS,3P Net Spot CP,All Net OPS,All Net Units,All Net GMS,All Net Spot CP
Selected period so far,76879.59999999999,6622,75275.01999999999,-3803.276002,212345.54,15664,183779.7,0,289225.13999999996,22286,259054.72,-3803.276002
Previous year,72998.25,4687,71707.95999999999,-11165.942256999999,81918.25000000001,3950,82279.81,0,154916.50000000003,8637,153987.77,-11165.942256999999
Changes from previous year,8.35%,45.36%,7.99%,65.07%,161.80%,301.85%,125.62%,N/A,90.22%,163.69%,71.40%,65.07%


Period,Merchant Type,Metric Type,Sat Dec 06 2025,Sun Dec 07 2025,Mon Dec 08 2025,Tue Dec 09 2025,Wed Dec 10 2025,Thu Dec 11 2025,Fri Dec 12 2025,Sat Dec 13 2025,Sun Dec 14 2025,Mon Dec 15 2025,Tue Dec 16 2025,Wed Dec 17 2025,Thu Dec 18 2025,Fri Dec 19 2025,Sat Dec 20 2025,Sun Dec 21 2025,Mon Dec 22 2025,Tue Dec 23 2025,Wed Dec 24 2025,Thu Dec 25 2025,Fri Dec 26 2025,Sat Dec 27 2025,Sun Dec 28 2025,Mon Dec 29 2025,Tue Dec 30 2025,Wed Dec 31 2025,Thu Jan 01 2026,Fri Jan 02 2026,Sat Jan 03 2026,Sun Jan 04 2026,Mon Jan 05 2026,Tue Jan 06 2026
Previous year Retail,Retail,NET_GMS,2527.97,1721.01,1352,1992.77,1312.54,1192.86,1370.79,1427.23,1762.34,1395.71,1331.03,1440.88,1688.19,1690.95,1315.55,2058.97,1529.73,2216.8,2085.53,3538.28,2871.71,3337.89,2994.13,1916.51,1436.94,3053.61,3193.02,3481.48,3669.09,4568.43,3227.22,3006.8
Previous year Retail,Retail,NET_SPOT_CP,-303.914,-455.149,-241.67000000000002,-124.109,-335.008,-129.427,-206.53699999999998,-233.27899999999997,-308.06600000000003,-317.557,-306.637,-159.262,-109.62499999999999,-93.83000000000001,-589.807,-452.39,-16.223,-466.14700000000005,-375.699,-291.858,-218.026,-529.454,-434.18600000000004,-49.842,-88.89600000000002,-863.838563,-236.27413500000003,-548.427413,-890.079442,-777.2892320000001,-482.519539,-530.915933
Previous year 3P,3P,NET_OPS,2352.76,3447.05,3244.83,2737.43,3131.81,2238.33,2674.75,2311.25,2826.65,3009.97,2582.71,2471.05,3063.9,2857.06,2643.93,2872.12,2659.61,1642.25,1291.29,2349.95,3131.42,2284.88,3176.34,2390.49,1727.21,2354.52,2301.69,2411.55,1621.55,3588.22,2892.63,1629.05
Previous year 3P,3P,NET_UNITS,93,192,162,110,118,121,127,132,143,133,112,117,133,131,102,133,129,81,63,103,121,101,136,154,76,136,119,149,114,192,130,87
Previous year 3P,3P,NET_GMS,2316.46,3486.36,3256.62,2741.25,3255.99,2247.08,2713.73,2262.06,2794.46,3047.24,2596.77,2539.26,3062.27,2854.59,2663.6,2896.29,2634.45,1647.7,1291.51,2352.1,3133.81,2332.49,3205.29,2409.09,1793.22,2363.68,2278.46,2382.25,1624.84,3553.47,2913.32,1630.1
Previous year 3P,3P,NET_SPOT_CP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Previous year,All,NET_OPS,5120.65,5181.5,4644.36,4768.25,4473.79,3453.25,4059.56,3757.4,4591.48,4499.03,3943.48,3967.4300000000003,4801.12,4576.97,3991.56,4957.58,4190.46,3867.14,3368.37,5905.44,6028.91,5659.54,6174.6,4302.17,3165.45,5496.62,5543.51,5948.26,5352.39,8224.68,6191.700000000001,4709.85
Previous year,All,NET_UNITS,242,301,265,240,245,197,201,248,256,269,212,219,260,244,256,284,217,281,193,270,291,284,314,266,149,338,270,324,377,492,340,292
Previous year,All,NET_GMS,4844.43,5207.37,4608.62,4734.02,4568.53,3439.9399999999996,4084.52,3689.29,4556.8,4442.95,3927.8,3980.1400000000003,4750.46,4545.54,3979.1499999999996,4955.26,4164.18,3864.5,3377.04,5890.38,6005.52,5670.379999999999,6199.42,4325.6,3230.16,5417.29,5471.48,5863.73,5293.93,8121.9,6140.54,4636.9
Previous year,All,NET_SPOT_CP,-303.914,-455.149,-241.67000000000002,-124.109,-335.008,-129.427,-206.53699999999998,-233.27899999999997,-308.06600000000003,-317.557,-306.637,-159.262,-109.62499999999999,-93.83000000000001,-589.807,-452.39,-16.223,-466.14700000000005,-375.699,-291.858,-218.026,-529.454,-434.18600000000004,-49.842,-88.89600000000002,-863.838563,-236.27413500000003,-548.427413,-890.079442,-777.2892320000001,-482.519539,-530.915933









Top ASINs,NET_OPS,Title

Top ASINs,NET_UNITS,Title
