ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B000R73XZ0,Bragg,1380,338,600.00,1.00,3144.52,1622.40,1572.40,1569.55,0,(10.93)%,1313,23.89%,23.89%,80.00%,90.32%,24.49%,4.79,(60.55)%,-983.73,-2.90,(9.51)%,2.15%,2.36%,59.32%,95.00
B000WGE26A,Gerber,668,322,344.00,58.00,2083.82,1615.14,1618.29,1619.14,400.27,17.20%,653,0.00%,0.00%,100.00%,36.65%,48.20%,5.02,(8.39)%,-138.25,-0.43,(20.77)%,31.68%,38.26%,57.87%,83.30
B0014CXH1C,Gerber,757,170,241.00,34.00,2641.58,1604.25,1635.91,1620.28,401.87,18.99%,714,6.48%,6.48%,73.33%,18.99%,22.46%,9.33,(5.43)%,-91.34,-0.53,(17.52)%,31.09%,36.54%,100.00%,94.50
B0D2P6KRB1,Tata Soulfull,2600,546,1918.00,636.00,8010.26,1586.68,1572.67,1580.07,0,(1.69)%,2433,12.12%,12.12%,94.44%,100.00%,21.00%,2.92,(53.00)%,-868.34,-1.60,(43.19)%,30.16%,43.19%,66.69%,67.50
B0881MS1FD,Americandy,1023,597,755.00,448.00,2108.95,1569.10,1512.07,1500.92,890.91,14.80%,988,3.62%,3.62%,92.07%,100.00%,58.36%,2.61,(23.26)%,-361.74,-0.60,(6.99)%,24.45%,26.16%,0.00%,87.50
B093YXPPWS,Nabati,1346,463,566.00,171.00,2157.33,1540.58,1528.63,1530.10,784.23,30.16%,1175,3.79%,3.79%,85.84%,100.00%,34.40%,3.33,(6.11)%,-94.28,-0.20,(14.55)%,40.80%,46.74%,0.00%,85.00
B07NF6HR38,UNKNOWN,797,1215,4035.00,1632.00,4547.96,1485.31,1495.06,1509.55,0,16.92%,704,3.34%,3.34%,71.20%,100.00%,152.45%,1.23,(45.85)%,-686.67,-0.57,8.41%,9.98%,9.14%,72.07%,75.00
B015J4UYEI,Askeys,1213,496,712.00,334.00,2820.43,1477.91,1456.00,1469.38,676.39,15.02%,1209,1.24%,1.24%,99.62%,100.00%,40.89%,3.00,(39.81)%,-596.30,-1.21,(32.09)%,37.33%,49.32%,68.92%,95.00
B00X9MYZXO,Bazooka,588,123,230.00,62.00,3381.38,1444.11,1432.94,1423.44,1014.70,18.62%,568,9.37%,9.37%,56.87%,96.04%,20.92%,11.65,(2.44)%,-34.36,-0.28,(26.11)%,36.12%,45.55%,60.81%,95.00
B00L28D0QU,American Garden,1821,449,2153.00,618.00,5826.16,1428.11,1388.12,1373.37,0,26.08%,1739,8.88%,8.88%,85.53%,97.89%,24.66%,3.15,(18.43)%,-268.12,-0.59,13.41%,18.09%,15.66%,38.82%,91.50
