ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B018S1P174,WONDERFUL,74,21,0.00,0.00,0.00,61.81,61.04,79.98,0,23.87%,66,28.38%,28.38%,0.00%,100.00%,28.38%,3.86,(11.40)%,-7.24,-0.45,2.75%,23.00%,22.37%,100.00%,92.50
B09FX1D4PF,QualityFood,131,3,108.00,0.00,214.64,61.70,57.11,7.32,0,27.24%,118,66.15%,66.15%,9.45%,100.00%,2.29%,2.20,(40.85)%,-27.16,-0.97,9.80%,22.50%,20.29%,81.82%,59.00
B078S3YL6S,Vitamilk,113,45,3.00,0.00,5.06,61.56,63.45,74.57,0,5.61%,98,33.93%,33.93%,3.13%,100.00%,39.82%,1.62,(61.16)%,-39.51,-1.04,(4.20)%,10.00%,10.42%,100.00%,80.00
B0BF72D275,DIAMOND دايموند,48,4,4.00,2.00,53.91,61.52,61.52,61.52,0,22.26%,48,12.50%,12.50%,100.00%,83.33%,8.33%,15.38,1.93%,1.21,0.30,12.37%,11.29%,9.89%,0.00%,72.50
B088F92WLR,Freakin' Healthy,76,45,72.00,28.00,94.68,61.19,58.03,58.05,0,28.94%,72,36.84%,36.84%,100.00%,85.71%,59.21%,1.36,(22.87)%,-14.11,-0.31,3.30%,31.86%,30.81%,81.54%,93.00
B09FHV2D23,Lago,78,24,144.00,37.00,431.25,61.09,56.76,56.77,13.65,22.94%,64,41.03%,41.03%,100.00%,100.00%,30.77%,2.55,(21.80)%,-12.79,-0.53,(17.65)%,40.52%,47.68%,81.25%,77.50
B0FGD6GK9V,Candyland,113,52,149.00,97.00,135.08,60.03,58.67,62.45,0,78.12%,113,6.19%,6.19%,98.40%,100.00%,46.02%,1.15,(19.15)%,-12.59,-0.24,21.47%,76.00%,59.68%,0.00%,78.70
B0DBHX5MBR,PONS,10,3,2.00,7.00,35.39,59.90,58.00,58.00,35.96,28.59%,10,0.00%,0.00%,0.00%,0.00%,30.00%,19.97,16.31%,9.52,3.17,11.37%,23.00%,20.39%,0.00%,79.20
B000I0VTMA,American Garden,140,12,12.00,7.00,56.98,59.88,58.12,58.13,0,20.32%,137,51.08%,51.08%,50.00%,100.00%,8.57%,4.99,(36.95)%,-19.06,-1.59,4.86%,18.50%,17.60%,78.15%,95.50
B07NF8WZRC,Lotte,611,128,164.00,0.00,68.31,59.25,60.19,65.83,0,28.15%,505,34.04%,34.04%,41.19%,96.81%,20.95%,0.51,(187.64)%,-108.14,-0.92,24.33%,11.47%,8.68%,68.02%,62.50
B07XG54FLQ,Suncola,17,5,1.00,0.00,11.20,58.90,58.90,58.90,46.44,14.43%,14,23.53%,23.53%,0.00%,100.00%,29.41%,11.78,(11.06)%,-6.68,-1.34,4.92%,10.00%,9.51%,54.55%,82.00
B008IJ9XRQ,American Garden,143,12,0.00,0.00,0.00,58.79,58.15,58.20,27.33,23.81%,139,8.39%,8.39%,0.00%,100.00%,8.39%,4.90,(16.95)%,-10.30,-0.86,6.97%,18.64%,17.34%,0.00%,95.50
B0BMXT2612,DEEMAH,251,19,114.00,15.00,426.76,58.61,55.90,55.89,43.33,24.14%,221,17.13%,17.13%,39.13%,67.43%,7.57%,3.08,(35.30)%,-19.59,-1.03,(21.36)%,41.30%,50.12%,83.09%,79.50
B075VQKV56,UNKNOWN,168,57,1032.00,578.00,938.42,57.94,56.07,51.50,0,33.40%,68,19.05%,19.05%,87.77%,100.00%,33.93%,0.93,(15.12)%,-8.87,-0.14,2.69%,34.88%,33.94%,37.78%,94.50
B0102KWK14,PONS,45,7,4.00,0.00,39.20,57.92,56.83,56.85,45.68,35.88%,29,17.78%,17.78%,40.00%,100.00%,15.56%,8.27,5.00%,2.90,0.41,(18.45)%,48.71%,57.70%,82.76%,74.20
B07NF8729H,American Garden,278,30,521.00,156.00,978.72,57.91,55.43,57.67,0,17.84%,166,0.72%,0.72%,95.41%,100.00%,10.79%,2.00,(49.25)%,-29.38,-1.01,6.74%,16.13%,15.05%,17.68%,90.00
B087GLW295,Nom Noms,90,23,110.00,0.00,335.42,57.63,56.15,63.19,26.27,30.93%,83,37.78%,37.78%,69.68%,100.00%,25.56%,2.74,(4.97)%,-2.86,-0.14,(11.11)%,40.14%,44.60%,0.00%,80.00
B0DQLLVRXB,Barebells,70,12,0.00,39.00,0.00,57.53,55.95,47.65,0,28.61%,59,28.57%,28.57%,0.00%,100.00%,17.14%,4.11,(23.59)%,-13.79,-0.99,31.36%,0.00%,0.00%,70.59%,57.50
B0DDCPPZK1,Ching's Secret,69,42,265.00,84.00,300.13,57.41,61.17,61.18,0,30.14%,30,7.35%,7.35%,93.78%,100.00%,60.87%,1.37,(56.90)%,-37.38,-0.89,17.15%,15.68%,12.99%,25.00%,74.40
B0756YP6QK,Ching's Secret,100,47,35.00,8.00,39.64,57.11,51.13,52.29,0,18.21%,96,5.00%,5.00%,50.00%,100.00%,47.00%,1.24,(93.79)%,-55.19,-1.20,8.77%,16.32%,14.89%,100.00%,75.70
B0BN5F5TBW,Bazooka,126,37,170.00,27.00,284.64,56.69,53.73,58.35,17.70,11.94%,111,60.32%,60.32%,51.39%,100.00%,29.37%,1.49,(41.82)%,-23.98,-0.63,(12.24)%,27.52%,30.88%,91.82%,85.70
B087GMJZVC,Maohuat,81,9,0.00,2.00,0.00,56.33,53.42,34.31,0,26.72%,34,0.00%,0.00%,0.00%,0.00%,11.11%,4.02,(20.53)%,-11.67,-0.83,9.07%,25.29%,23.00%,0.00%,0
B075731CHK,Ching's Secret,102,44,20.00,36.00,22.65,56.05,54.68,54.69,0,19.71%,97,0.00%,0.00%,100.00%,100.00%,43.14%,1.27,(86.30)%,-52.11,-1.18,11.09%,12.99%,11.55%,100.00%,71.20
B087GMG88N,Americandy,47,10,110.00,48.00,603.75,55.17,53.16,53.17,8.02,36.67%,46,25.53%,25.53%,96.40%,100.00%,21.28%,5.52,(1.80)%,-0.90,-0.09,0.51%,40.00%,39.80%,0.00%,76.90
B01CEI7ZF8,American Garden,269,18,206.00,35.00,613.00,55.08,51.14,54.38,0,18.73%,264,11.90%,11.90%,94.79%,100.00%,6.69%,3.24,(49.32)%,-28.18,-1.66,8.15%,17.49%,16.06%,30.71%,91.70
B0C2VKC6KW,MARTINELLI'S,40,10,23.00,3.00,111.46,54.58,55.22,44.90,0,39.41%,30,22.50%,22.50%,40.00%,33.33%,25.00%,4.55,2.22%,1.28,0.11,(6.55)%,43.58%,46.44%,80.00%,78.00
B087GL6V4M,Lechao,63,11,26.00,19.00,110.99,54.00,52.28,52.28,0,30.73%,62,39.68%,39.68%,92.00%,100.00%,17.46%,4.91,(1.31)%,-0.72,-0.07,13.03%,23.00%,20.00%,0.00%,77.50
B086X2HD1Q,Ulker,157,22,285.00,167.00,1396.66,52.97,53.76,88.11,54.07,25.66%,153,77.07%,77.07%,69.31%,85.80%,14.01%,3.78,(18.69)%,-10.69,-0.76,(29.51)%,42.64%,55.23%,98.04%,72.50
B0FGD7FZNJ,Candyland,47,17,31.00,14.00,80.35,52.90,49.17,49.19,0,72.96%,46,59.57%,59.57%,96.43%,100.00%,36.17%,3.11,6.87%,3.21,0.19,16.71%,76.00%,63.30%,0.00%,78.70
B088F8QLLF,Freakin' Healthy,45,35,36.00,8.00,47.34,52.50,51.39,51.39,0,30.12%,44,13.33%,13.33%,100.00%,46.15%,77.78%,1.50,(30.01)%,-16.85,-0.48,12.34%,24.40%,21.39%,0.00%,98.50
B079HNF1WH,Gerber,68,14,0.00,1.00,0.00,51.72,49.68,49.69,0,20.20%,40,32.20%,32.20%,0.00%,0.00%,20.59%,3.69,(2.70)%,-1.37,-0.10,(1.47)%,25.25%,25.62%,34.62%,0
B087GJFD7K,Freakin Healthy,61,20,24.00,7.00,55.54,51.54,49.49,47.72,0,30.51%,54,30.00%,30.00%,100.00%,75.00%,32.79%,2.45,(18.56)%,-9.81,-0.47,5.71%,30.51%,28.77%,0.00%,98.50
B091VP9RGN,American Garden,64,9,14.00,24.00,64.68,51.33,49.62,49.62,0,17.32%,59,31.25%,31.25%,50.00%,100.00%,14.06%,5.70,(16.42)%,-8.41,-0.93,19.00%,2.06%,1.67%,62.96%,95.50
B087C6WK5P,Little Freddie,34,23,136.00,15.00,345.46,51.22,48.02,62.18,5.69,26.85%,27,64.71%,64.71%,68.70%,100.00%,67.65%,2.85,(2.63)%,-1.31,-0.07,10.73%,24.67%,22.02%,100.00%,81.70
B087GKBJL1,Rico,152,23,317.00,247.00,869.95,50.74,47.98,53.42,30.43,30.01%,150,28.95%,28.95%,98.45%,100.00%,15.13%,2.42,(39.59)%,-20.83,-0.99,(13.58)%,43.17%,49.03%,0.00%,79.20
B07NF825YZ,Al Rifai,26,8,22.00,31.00,113.68,50.39,49.45,49.45,12.44,24.20%,25,30.77%,30.77%,90.91%,68.75%,30.77%,6.30,(18.67)%,-9.79,-1.22,17.97%,9.89%,8.11%,82.61%,79.20
B07PR97QFD,Suntop,72,15,12.00,0.00,33.62,50.26,50.11,44.36,0,14.43%,61,0.00%,0.00%,0.00%,0.00%,20.83%,2.96,(44.64)%,-23.67,-1.39,5.25%,10.00%,9.48%,26.67%,0
B083VKCGWQ,American Garden,98,12,12.00,0.00,43.42,50.25,52.21,52.24,0,28.33%,71,70.41%,70.41%,66.67%,100.00%,12.24%,4.19,(8.73)%,-4.65,-0.39,13.59%,18.50%,15.99%,0.00%,92.50
B0DFVHLG8B,Ulker,74,8,12.00,5.00,58.81,50.21,51.50,52.69,0,39.88%,74,21.92%,21.92%,100.00%,100.00%,10.81%,6.28,2.22%,1.20,0.15,21.92%,23.00%,17.96%,0.00%,74.20
B0881MH8D7,Elvan,59,4,3.00,0.00,35.38,50.19,48.83,48.84,9.49,34.67%,52,38.98%,38.98%,40.00%,100.00%,6.78%,12.55,7.02%,3.49,0.87,6.00%,33.38%,31.37%,0.00%,72.50
B079H7W8TZ,Ching's Secret,78,42,54.00,12.00,47.49,50.07,46.29,47.71,0,31.14%,66,69.23%,69.23%,66.67%,100.00%,53.85%,1.19,(68.63)%,-35.12,-0.84,26.24%,16.29%,12.01%,86.36%,79.50
B08F745YDV,Betty Crocker,28,7,8.00,0.00,54.45,49.93,48.00,48.01,20.11,22.21%,25,48.00%,48.00%,0.00%,50.00%,25.00%,7.13,(10.69)%,-5.40,-0.77,4.59%,22.00%,20.99%,0.00%,75.80
B007RYU6VA,Gerber,102,8,28.00,3.00,169.61,49.93,51.39,51.39,29.37,31.09%,36,48.78%,48.78%,85.71%,22.40%,7.84%,6.24,(4.09)%,-2.16,-0.27,2.93%,29.01%,28.16%,0.00%,0
B087GKLJMZ,Quanwang,35,3,2.00,1.00,43.91,49.84,49.84,49.84,49.83,33.48%,26,14.29%,14.29%,100.00%,100.00%,8.57%,16.61,14.14%,7.12,2.37,(32.15)%,49.67%,65.64%,0.00%,83.20
B0DH4RTBZX,Staycool,62,9,1.00,8.00,4.63,49.57,49.57,49.62,0,79.83%,62,0.00%,0.00%,100.00%,100.00%,14.52%,5.51,45.97%,20.72,2.30,15.97%,76.00%,63.87%,0.00%,47.50
B0881M4QM3,Elvan,62,4,4.00,1.00,47.18,49.54,49.97,49.97,9.28,32.62%,59,20.97%,20.97%,80.00%,100.00%,6.45%,12.38,4.91%,2.49,0.62,4.77%,29.25%,27.86%,0.00%,73.50
B0DQR5L658,Castello since 1907,100,12,0.00,0.00,0.00,49.14,49.33,49.34,0,10.70%,94,6.06%,6.06%,0.00%,100.00%,12.00%,4.09,(33.23)%,-17.12,-1.43,(13.69)%,22.50%,25.58%,30.85%,0
B0DBR4V7W7,TATA,199,14,460.00,166.00,1465.27,49.09,48.16,48.19,0,23.89%,185,65.99%,65.99%,87.46%,100.00%,7.04%,3.51,(31.64)%,-16.31,-1.16,9.16%,16.28%,14.79%,0.00%,80.00
B00L28CGDS,American Garden,176,14,0.00,0.00,0.00,48.91,47.21,50.86,0,25.63%,167,2.27%,2.27%,0.00%,20.00%,7.95%,3.76,(11.24)%,-4.92,-0.38,13.02%,18.50%,16.09%,100.00%,85.50
B01L777YMG,Hectare's,38,39,683.00,173.00,929.74,48.64,45.51,53.87,2.65,41.99%,35,36.84%,36.84%,93.35%,100.00%,102.63%,1.47,(57.40)%,-28.59,-0.87,7.65%,44.16%,40.78%,100.00%,78.00
B0064OI6WK,Zed,29,3,1.00,0.00,14.29,48.32,51.06,41.19,0,8.90%,29,31.03%,31.03%,33.33%,100.00%,10.34%,12.08,(10.83)%,-5.67,-1.42,(18.31)%,26.84%,31.75%,88.24%,79.20
B09J44N1YP,UNKNOWN,23,7,16.00,10.00,86.25,48.22,47.54,47.54,0,79.80%,19,39.13%,39.13%,92.31%,100.00%,30.43%,6.89,55.49%,26.88,3.84,21.75%,76.00%,59.47%,0.00%,84.50
B0B57RZNB8,PONS,11,3,1.00,0.00,17.70,48.05,48.05,48.05,30.85,37.02%,9,27.27%,27.27%,50.00%,100.00%,27.27%,16.02,15.53%,7.65,2.55,(10.49)%,43.00%,47.51%,0.00%,79.20
B087GM9393,Tian's,181,34,55.00,1.00,75.47,47.78,47.95,47.94,19.24,40.46%,171,11.05%,11.05%,86.15%,39.39%,18.78%,1.41,(30.74)%,-16.59,-0.49,2.36%,42.81%,41.79%,0.00%,77.50
B09BN468H3,Palazi,69,13,96.00,19.00,330.62,47.26,44.15,44.15,7.35,30.35%,63,46.38%,46.38%,80.00%,100.00%,18.84%,3.64,(24.83)%,-11.94,-0.92,5.27%,32.89%,31.16%,0.00%,75.90
B07NF5128P,Moussy,264,7,2.00,194.00,13.39,46.88,48.18,48.23,0,10.62%,238,0.00%,0.00%,0.00%,0.00%,2.65%,6.70,(114.10)%,-33.04,-4.72,0.00%,10.00%,10.00%,0.00%,82.00
B083VKYVD9,TATA,158,17,414.00,138.00,921.99,46.86,45.95,45.96,0,30.92%,81,0.00%,0.00%,96.37%,100.00%,10.76%,2.76,(14.23)%,-6.82,-0.40,19.21%,16.41%,13.26%,0.00%,100.00
B088TX2BMQ,BEST,28,8,11.00,3.00,76.37,46.78,46.11,46.11,38.57,34.46%,27,16.00%,16.00%,100.00%,100.00%,28.57%,5.85,11.43%,5.48,0.69,(18.72)%,46.00%,54.61%,100.00%,82.50
B0DMTC4NQB,Castello since 1907,48,6,0.00,0.00,0.00,46.77,48.32,48.39,0,39.09%,37,22.92%,22.92%,0.00%,100.00%,12.50%,7.79,14.61%,7.20,1.20,21.41%,22.50%,17.68%,0.00%,0
B00D2PKZ4Q,Gerber,65,13,18.00,1.00,72.68,46.76,46.53,46.54,19.76,20.48%,38,46.67%,46.67%,100.00%,4.00%,20.00%,3.60,(15.98)%,-7.74,-0.60,(12.26)%,30.22%,33.92%,52.63%,0
B0FGD3JPXP,Candyland,40,14,6.00,4.00,17.10,46.69,45.35,45.35,0,76.61%,37,20.00%,20.00%,32.14%,100.00%,35.00%,3.34,50.21%,23.49,1.68,14.53%,76.00%,64.96%,0.00%,81.50
B07RN74QSC,American Garden,208,12,346.00,108.00,1066.34,46.68,44.79,35.60,0,17.62%,173,29.33%,29.33%,94.46%,100.00%,5.77%,3.11,(45.88)%,-23.16,-1.54,0.96%,19.25%,19.06%,76.72%,98.30
B006J3HS98,JULIE'S,105,21,68.00,16.00,166.62,46.65,44.97,47.06,12.20,33.45%,96,32.38%,32.38%,55.38%,100.00%,20.00%,2.33,(26.17)%,-12.86,-0.64,(5.05)%,39.63%,41.63%,100.00%,79.20
B07RVJGVNR,American Garden,363,14,311.00,98.00,958.47,46.03,42.81,39.85,5.55,13.42%,308,6.35%,6.35%,90.35%,100.00%,3.86%,3.07,(41.73)%,-19.69,-1.31,(0.43)%,19.93%,20.01%,24.05%,98.30
B007F1MO42,General Mills,71,5,24.00,10.00,210.27,46.01,46.01,46.01,0,32.64%,14,60.00%,60.00%,0.00%,0.00%,7.04%,9.20,7.09%,3.36,0.67,4.79%,29.25%,27.85%,73.08%,0
B01C60EZIY,WONDERFUL,9,3,3.00,0.00,39.69,45.65,45.65,45.65,0,33.04%,9,22.22%,22.22%,100.00%,100.00%,33.33%,15.22,13.51%,6.32,2.11,13.04%,23.00%,20.00%,0.00%,73.40
B07PCDZ634,American Garden,130,13,12.00,11.00,39.27,45.52,43.43,43.43,0,19.73%,120,13.08%,13.08%,100.00%,100.00%,10.00%,3.50,(37.31)%,-17.40,-1.34,6.53%,18.66%,17.44%,50.63%,93.00
B0009NBQW4,UNKNOWN,34,10,10.00,7.00,50.26,45.27,45.27,45.28,15.72,82.39%,34,0.00%,0.00%,90.91%,100.00%,29.41%,4.53,45.79%,21.29,2.13,(11.02)%,83.65%,92.87%,0.00%,79.20
B01HI4D3UO,AriZona,31,12,12.00,0.00,41.65,45.12,38.69,38.69,0,14.27%,30,74.19%,74.19%,57.14%,100.00%,38.71%,3.76,(25.29)%,-10.37,-0.86,7.68%,22.00%,20.31%,100.00%,82.50
B087GM4WR7,Felfoldi,40,1,2.00,1.00,77.76,44.71,44.71,44.72,0,33.04%,39,77.50%,77.50%,50.00%,100.00%,2.50%,44.71,21.25%,9.51,9.51,13.04%,23.00%,20.00%,0.00%,65.90
B087GMDHZY,Erko,156,46,132.00,58.00,150.94,44.56,46.00,48.39,21.98,25.96%,156,16.67%,16.67%,76.76%,100.00%,29.49%,1.01,(66.43)%,-34.47,-0.78,(12.90)%,39.47%,44.57%,0.00%,75.90
B0FDLCHG1J,Little Freddie,78,6,0.00,23.00,0.00,44.28,43.87,43.88,12.70,22.45%,78,0.00%,0.00%,0.00%,0.00%,7.69%,7.38,(67.94)%,-19.76,-3.29,(14.36)%,33.00%,37.74%,57.14%,65.00
B083VKRRWG,TATA,189,17,317.00,91.00,705.97,44.23,43.74,43.75,0,27.26%,84,7.94%,7.94%,95.57%,100.00%,8.99%,2.60,(34.98)%,-16.28,-0.96,14.40%,16.32%,13.97%,39.71%,93.50
B087GM7M5Q,Elvan,210,10,76.00,1.00,312.85,44.20,43.06,43.06,0,25.70%,165,70.95%,70.95%,33.72%,81.90%,4.76%,4.42,(13.69)%,-6.18,-0.62,6.86%,23.00%,21.42%,80.95%,75.90
B091VQ8QSN,American Garden,344,5,194.00,44.00,808.10,43.94,42.37,23.89,0,20.15%,339,68.02%,68.02%,99.48%,100.00%,1.45%,4.39,(37.78)%,-17.25,-1.73,5.20%,18.50%,17.54%,80.47%,96.70
B07NF5YH6Z,Palazi,250,17,113.00,21.00,492.23,43.56,41.29,70.06,6.37,37.79%,226,27.60%,27.60%,96.52%,100.00%,6.80%,4.36,(11.11)%,-4.82,-0.48,0.00%,43.00%,43.00%,70.95%,70.00
B0881MB9PB,Swasco,60,10,0.00,0.00,0.00,43.39,40.85,34.37,0,38.13%,21,0.00%,0.00%,0.00%,0.00%,16.67%,3.62,(87.12)%,-21.86,-1.82,24.17%,28.48%,21.59%,0.00%,0
B00L2ZKXO0,American Garden,167,17,12.00,3.00,30.35,42.49,41.40,44.05,0,17.70%,153,22.75%,22.75%,33.33%,100.00%,10.18%,2.66,(40.11)%,-18.17,-1.14,4.77%,18.60%,17.71%,56.07%,98.30
B083VKRS1M,Al Rifai,77,8,8.00,2.00,33.89,42.28,42.13,42.13,0,25.81%,68,9.09%,9.09%,71.43%,100.00%,10.39%,5.29,(0.36)%,-0.16,-0.02,19.85%,11.33%,9.08%,0.00%,67.40
B00L2ZKQ92,American Garden,50,9,12.00,5.00,53.91,42.00,40.60,40.60,0,18.37%,49,28.00%,28.00%,100.00%,100.00%,18.00%,4.67,(33.75)%,-11.91,-1.32,3.73%,18.66%,17.96%,34.69%,98.30
B001AS8QPC,General Mills,42,6,12.00,10.00,87.92,41.60,40.29,40.34,0,8.98%,10,68.29%,68.29%,100.00%,7.41%,14.29%,6.93,(23.86)%,-9.95,-1.66,(5.66)%,16.83%,17.79%,82.35%,93.50
B07NFCKPTF,Coroli,50,1,4.00,0.00,32.67,41.18,41.18,17.38,0,28.59%,12,66.67%,66.67%,44.44%,100.00%,2.00%,10.29,(2.54)%,-1.10,-0.27,20.66%,10.00%,7.93%,77.78%,0
B0B82WRMDR,Mr Makhana,64,27,169.00,21.00,181.74,40.63,38.16,38.16,0,80.39%,62,35.94%,35.94%,88.07%,100.00%,42.19%,1.50,(25.43)%,-10.83,-0.40,28.53%,80.30%,57.39%,0.00%,80.80
B07QFH3BGS,General Mills,30,3,12.00,1.00,92.26,40.45,40.45,20.23,0,14.74%,25,79.31%,79.31%,0.00%,0.00%,10.00%,6.74,(28.41)%,-12.09,-2.01,(14.05)%,25.25%,28.80%,100.00%,82.00
B00D97LPKK,Warheads,102,11,0.00,25.00,0.00,40.41,41.32,41.33,21.57,0.94%,99,1.96%,1.96%,0.00%,0.00%,10.78%,3.67,(66.95)%,-24.95,-2.27,5.10%,0.00%,0.00%,50.00%,87.50
B07JWGJQNZ,Erko,182,30,132.00,46.00,181.12,39.54,37.18,37.17,13.16,34.94%,174,31.87%,31.87%,86.75%,100.00%,16.48%,1.32,(32.67)%,-13.09,-0.44,(4.12)%,43.94%,45.75%,0.00%,80.00
B0881M8KCW,Elvan,118,1,84.00,26.00,716.95,39.26,39.26,8.42,0,33.04%,89,100.00%,100.00%,67.20%,67.93%,0.85%,9.81,19.22%,7.65,1.91,13.04%,23.00%,20.00%,100.00%,68.50
B0DG84D7YG,Schogetten,50,11,5.00,0.00,12.93,39.26,38.72,38.72,0,81.25%,49,28.00%,28.00%,0.00%,39.47%,22.00%,3.57,28.64%,11.84,1.08,27.53%,76.00%,55.08%,0.00%,84.20
B01BHW7EVC,AriZona,132,17,291.00,84.00,1010.13,39.25,36.33,36.37,0,(24.70)%,115,43.18%,43.18%,57.95%,93.87%,12.88%,2.31,(97.15)%,-33.59,-1.98,(50.33)%,22.00%,33.07%,71.43%,87.50
B01ITA6H36,TETLEY,26,6,6.00,0.00,34.84,38.81,40.02,40.07,0,24.62%,26,57.69%,57.69%,94.74%,100.00%,23.08%,6.47,(10.19)%,-4.20,-0.70,10.23%,16.03%,14.39%,0.00%,61.00
B087GLRBKR,Americandy,66,14,107.00,50.00,587.28,38.71,38.92,71.51,22.61,29.39%,63,48.48%,48.48%,100.00%,100.00%,21.21%,4.84,(9.56)%,-3.91,-0.49,(13.43)%,39.25%,44.51%,0.00%,72.50
B0CYT7YKYH,TETLEY,33,5,5.00,5.00,32.00,38.56,40.20,40.23,0,30.53%,33,0.00%,0.00%,100.00%,100.00%,15.15%,7.71,7.04%,2.90,0.58,17.01%,16.29%,13.52%,0.00%,86.00
B08WXSNHL3,Ching's Secret,37,21,7.00,1.00,7.93,38.32,36.92,36.93,0,44.40%,37,13.51%,13.51%,86.36%,100.00%,56.76%,1.82,(51.80)%,-20.89,-0.99,37.93%,16.30%,10.12%,0.00%,77.50
B078QF4435,Cala,162,20,21.00,6.00,37.73,38.27,36.87,39.47,0,77.70%,103,25.31%,25.31%,86.36%,100.00%,12.35%,1.91,(38.17)%,-10.69,-0.53,6.10%,79.60%,74.75%,0.00%,82.50
B083VK2HWC,Al Rifai,129,9,128.00,27.00,604.27,37.60,34.91,52.26,0,24.90%,119,39.53%,39.53%,80.25%,74.31%,6.98%,6.27,(12.01)%,-4.37,-0.73,24.67%,8.14%,6.13%,79.49%,73.40
B08GL7GF37,CASANOVA,26,4,4.00,0.00,32.67,37.57,35.69,35.69,0,34.99%,25,0.00%,0.00%,0.00%,0.00%,15.38%,9.39,22.51%,8.13,2.03,13.04%,31.00%,26.96%,0.00%,64.40
B0881MBB6L,Palazi,98,14,13.00,2.00,30.26,37.47,36.15,36.18,0,27.38%,88,61.22%,61.22%,61.90%,100.00%,14.29%,2.68,(41.45)%,-15.11,-1.08,13.02%,23.82%,20.72%,0.00%,77.50
B079H9C6R5,Ching's Secret,30,17,125.00,4.00,137.49,37.38,36.75,22.53,0,27.34%,13,44.83%,44.83%,45.19%,100.00%,56.67%,1.34,(74.13)%,-28.79,-1.03,17.62%,16.41%,13.52%,63.16%,63.30
B083VK8HZK,Tetley,34,12,12.00,1.00,34.43,37.22,36.87,36.88,14.48,13.90%,33,29.41%,29.41%,83.33%,100.00%,35.29%,3.10,(41.72)%,-16.35,-1.36,7.48%,7.33%,6.79%,0.00%,100.00
B087GM4WV7,Elvan,58,13,64.00,1.00,156.12,36.98,36.03,31.09,1.74,31.86%,52,48.28%,48.28%,89.04%,36.14%,22.41%,2.47,(31.17)%,-10.77,-0.72,1.06%,34.00%,33.64%,0.00%,76.90
B01AERH4WU,American Garden,183,22,396.00,139.00,624.23,36.57,37.45,37.46,0,21.68%,97,0.55%,0.55%,91.52%,100.00%,12.02%,1.66,(60.61)%,-24.35,-1.11,5.18%,18.58%,17.61%,41.13%,93.70
B087GMRW36,Americandy,119,9,107.00,45.00,587.28,36.12,35.77,41.20,25.18,26.02%,98,68.07%,68.07%,97.22%,100.00%,7.56%,4.51,(29.18)%,-9.62,-1.20,(21.57)%,41.12%,49.99%,0.00%,76.90
B00005C97M,Gerber,81,9,39.00,0.00,243.04,35.54,38.78,48.95,5.04,3.83%,77,32.10%,32.10%,85.71%,100.00%,11.11%,5.08,(32.18)%,-14.08,-2.01,(22.73)%,21.64%,26.56%,80.52%,86.00
B0B8DMQRPR,American Garden,812,16,126.00,38.00,705.63,35.40,34.80,91.19,0,15.11%,667,44.70%,44.70%,80.20%,98.50%,1.97%,5.90,(20.54)%,-7.43,-1.24,5.08%,12.33%,11.71%,91.29%,100.00
B087GJMBTX,MIR,106,10,13.00,6.00,41.59,35.18,34.64,34.65,0,29.36%,105,67.92%,67.92%,59.09%,100.00%,9.43%,3.52,(16.72)%,-6.09,-0.61,9.06%,23.00%,20.92%,0.00%,76.20
B07NF8W488,Angel,125,34,24.00,0.00,32.67,35.14,34.63,40.09,0,19.89%,77,64.00%,64.00%,33.33%,100.00%,27.20%,1.21,(71.39)%,-27.38,-0.94,(12.35)%,29.95%,33.65%,72.73%,0
B087GMFPZZ,Nom Noms,64,9,8.00,3.00,24.39,35.07,34.95,32.80,0,30.02%,63,20.31%,20.31%,80.00%,100.00%,14.06%,3.51,(49.51)%,-15.05,-1.51,13.04%,24.15%,21.00%,0.00%,80.00
B083VKVVK9,Al Rifai,30,5,20.00,29.00,97.96,34.98,34.25,34.25,0,37.61%,29,50.00%,50.00%,82.61%,92.00%,16.67%,7.00,(5.88)%,-2.17,-0.43,30.00%,11.42%,8.00%,86.21%,65.00
B09HXPTK1G,PONS,19,5,2.00,0.00,19.60,34.97,34.97,46.63,0,43.66%,19,42.11%,42.11%,66.67%,100.00%,26.32%,11.66,21.77%,7.80,2.60,15.91%,33.00%,27.75%,82.35%,79.20
B087GJKXSY,Tian's,101,19,122.00,60.00,241.80,34.68,33.65,35.82,11.42,29.26%,92,25.74%,25.74%,100.00%,100.00%,18.81%,1.93,(38.34)%,-14.11,-0.78,(2.87)%,34.11%,35.09%,0.00%,75.90
