ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B015Y1GLK2,TILDA,4235,2008,4746.00,3407.00,84155.31,20377.98,20208.53,18258.82,9291.82,17.23%,2984,16.25%,16.25%,93.00%,43.27%,47.41%,9.09,(13.35)%,-2749.88,-1.23,(95.09)%,57.89%,112.93%,98.40%,91.20
B07X5MH1BM,Vitamin Well,1013,335,0.00,382.00,0.00,9411.22,9355.45,9355.68,0,33.86%,982,0.00%,0.00%,100.00%,100.00%,33.07%,28.09,20.91%,1974.07,5.89,15.10%,22.50%,19.10%,99.69%,63.00
B07M85KKJ4,Barebells,633,147,361.00,452.00,12222.52,5492.17,5183.10,4993.64,0,25.03%,445,0.00%,0.00%,66.82%,100.00%,23.22%,34.11,16.06%,830.18,5.16,0.75%,29.52%,29.30%,100.00%,98.50
B07DLFZW31,Barebells,453,192,440.00,315.00,10736.90,5133.76,4863.69,4956.14,0,31.01%,411,26.27%,26.27%,58.35%,100.00%,42.38%,26.46,19.70%,970.43,5.00,7.79%,30.77%,28.37%,81.32%,100.00
B09P8GQ4TK,M.C. Trader,830,247,580.00,371.00,10106.03,4619.73,4568.72,5077.28,0,40.47%,818,78.19%,78.19%,38.41%,100.00%,29.76%,20.72,23.57%,1063.08,4.77,15.89%,29.99%,25.22%,95.12%,92.50
B08MKX6G7G,Vitamin Well,455,163,192.00,65.00,4579.60,4590.98,4522.49,4522.68,0,33.15%,451,26.59%,26.59%,72.79%,100.00%,35.82%,28.17,20.83%,951.61,5.84,15.31%,22.50%,19.05%,92.89%,98.50
B086DVXG5K,Vitamin Well,669,134,312.00,358.00,7441.85,4066.70,4022.77,4151.69,0,33.41%,652,17.64%,17.64%,96.15%,100.00%,20.03%,28.05,20.46%,836.27,5.77,14.95%,22.85%,19.43%,99.18%,88.50
B07MV32JLH,Afia,608,88,169.00,92.00,5500.59,3600.46,3623.31,2988.25,0,12.99%,570,4.11%,4.11%,98.44%,100.00%,14.47%,33.34,(2.54)%,-91.28,-0.85,2.37%,11.02%,10.76%,99.82%,82.50
B07DLCVM1H,Barebells,222,113,36.00,123.00,878.47,3237.36,3136.22,2916.77,0,29.99%,213,0.00%,0.00%,54.55%,100.00%,50.90%,26.32,18.44%,587.21,4.77,7.29%,27.84%,25.81%,98.08%,100.00
B072HWGV31,Barebells,341,85,196.00,241.00,6636.05,2982.13,2766.48,2890.94,0,27.92%,335,0.00%,0.00%,97.71%,100.00%,24.93%,34.68,18.42%,511.44,5.95,2.36%,33.36%,32.57%,97.12%,98.50
B07TDTX4R2,Barebells,324,108,503.00,379.00,17028.89,2819.02,2560.24,3784.79,0,33.10%,189,27.16%,27.16%,35.65%,100.00%,33.33%,38.62,26.55%,687.86,9.42,13.53%,33.06%,28.58%,75.63%,93.00
B07MHKBDJV,Barebells,270,107,12.00,246.00,292.82,2632.75,2476.37,2775.12,0,32.79%,259,0.00%,0.00%,80.00%,100.00%,39.63%,27.42,22.39%,566.03,5.90,11.02%,30.56%,27.20%,94.94%,100.00
B07P6YJPPG,Afia,236,77,158.00,163.00,4709.39,2497.75,2438.82,2406.93,0,15.05%,228,0.00%,0.00%,97.91%,100.00%,32.63%,32.02,(0.19)%,-4.71,-0.06,6.92%,10.61%,9.87%,100.00%,92.50
B01L1QNQEI,Gowardhan,513,205,1320.00,528.00,16171.83,2036.04,2007.91,2232.83,0,14.18%,429,13.84%,13.84%,61.15%,100.00%,39.96%,11.13,(13.03)%,-255.72,-1.40,(10.12)%,22.87%,25.19%,76.12%,98.30
B08MBD4175,Vitamin Well,451,99,111.00,268.00,2647.58,2015.95,1779.83,1779.85,0,(2.24)%,375,38.80%,38.80%,80.00%,100.00%,21.95%,20.36,(17.21)%,-312.38,-3.16,(17.13)%,22.50%,26.36%,82.03%,82.00
B07MQDNJHS,Pocari Sweat,1043,1188,3872.00,3746.00,5797.90,1784.49,1784.79,1828.06,0,12.12%,1024,0.00%,0.00%,58.92%,100.00%,113.90%,1.54,(35.37)%,-634.90,-0.55,2.98%,9.95%,9.65%,28.79%,82.00
B07P75SDV2,Al osra,620,384,1987.00,1059.00,12036.51,1688.30,1671.69,1516.43,0,(33.85)%,598,11.45%,11.45%,100.13%,100.00%,61.94%,3.96,(121.63)%,-1873.67,-4.40,(52.85)%,13.31%,20.34%,67.94%,82.90
B087GJVRRM,Nom Noms,1636,623,402.00,61.00,980.63,1621.23,1600.92,1802.83,0,34.72%,1559,32.33%,32.33%,13.10%,100.00%,38.08%,2.94,(17.51)%,-301.30,-0.55,17.09%,23.94%,19.84%,81.86%,87.50
B07FSPH47X,Barebells,150,30,60.00,48.00,2031.44,1239.86,1151.59,1043.52,0,29.57%,142,11.33%,11.33%,84.62%,100.00%,20.00%,36.47,22.61%,264.06,7.77,7.15%,31.30%,29.06%,94.69%,98.50
B0054K0R5Y,Gerber,589,163,24.00,75.00,177.20,1214.42,1224.69,1234.53,0,28.49%,588,0.00%,0.00%,0.00%,0.00%,27.67%,7.50,(0.45)%,-5.52,-0.03,1.51%,27.78%,27.36%,78.74%,89.50
B0BFBDDGGN,Barebells,239,24,60.00,48.00,2031.44,1212.60,1136.59,896.54,0,29.64%,155,50.21%,50.21%,21.74%,100.00%,10.04%,36.75,21.19%,245.07,7.43,7.86%,29.74%,27.41%,50.37%,94.50
B07NF8B82T,Alitea,763,275,280.00,134.00,1745.69,1164.76,1152.71,1240.76,721.88,16.66%,751,0.00%,0.00%,0.44%,100.00%,36.04%,4.60,(13.08)%,-147.20,-0.58,(35.42)%,40.34%,54.63%,75.03%,87.50
B00D2PLAMW,Gerber,390,214,108.00,41.00,654.22,1081.93,1082.13,1082.29,0,12.40%,378,0.00%,0.00%,0.00%,0.00%,54.87%,5.06,(13.48)%,-151.08,-0.71,(19.82)%,27.36%,32.78%,65.72%,81.70
B07DLNH6L2,Barebells,172,22,132.00,124.00,4469.17,1032.03,881.20,604.00,0,19.27%,150,45.93%,45.93%,67.86%,100.00%,12.79%,34.40,10.62%,96.46,3.22,1.58%,31.18%,30.69%,65.85%,98.50
B079HN2V2D,Gerber,327,110,42.00,56.00,310.11,1027.96,1035.24,1035.29,0,43.29%,321,0.00%,0.00%,100.00%,85.71%,33.64%,9.35,22.87%,243.51,2.21,20.99%,29.16%,23.04%,84.71%,94.50
B015J4YNNG,TETLEY,209,161,216.00,250.00,1267.28,1015.07,1024.28,1057.21,0,23.97%,207,0.00%,0.00%,89.54%,100.00%,77.03%,6.51,4.87%,50.59,0.32,9.83%,15.79%,14.24%,100.00%,98.50
B0881MBW3P,Erko,782,620,596.00,874.00,786.97,1000.69,967.60,944.25,0,32.46%,780,0.00%,0.00%,19.15%,100.00%,79.28%,1.57,(27.31)%,-281.88,-0.44,15.68%,25.40%,21.42%,0.00%,90.00
B07NF7MR14,Tetley,287,276,161.00,23.00,797.76,993.79,991.39,1027.15,0,(12.97)%,279,7.67%,7.67%,88.31%,100.00%,96.17%,3.75,(56.53)%,-570.26,-2.15,(32.18)%,15.13%,19.99%,67.88%,98.50
B0C62GCJ68,TATA,486,140,1406.00,988.00,7958.16,979.20,975.46,847.55,0,20.12%,477,12.14%,12.14%,99.75%,100.00%,28.81%,5.60,(3.02)%,-29.87,-0.17,(1.16)%,21.44%,21.69%,64.23%,100.00
B079974J1R,WONDERFUL,143,34,120.00,88.00,3247.43,960.90,960.90,911.03,0,21.28%,139,46.85%,46.85%,70.59%,100.00%,23.78%,26.69,8.96%,86.97,2.42,(1.39)%,22.36%,22.67%,98.37%,80.00
B08GD1Z9PS,Tata,130,100,36.00,4.00,295.90,938.17,936.49,936.50,0,25.35%,128,0.00%,0.00%,100.00%,100.00%,76.92%,9.38,7.93%,73.78,0.74,12.39%,16.01%,14.03%,0.00%,87.50
B07P75SCX3,UNKNOWN,398,140,326.00,239.00,2149.63,912.25,884.07,928.37,0,10.92%,373,8.04%,8.04%,79.64%,100.00%,35.18%,6.86,(20.01)%,-180.51,-1.36,3.86%,10.00%,9.61%,43.77%,87.50
B09MWMV1DG,Barebells,196,30,196.00,151.00,6636.05,899.06,836.12,1051.74,0,30.70%,183,42.35%,42.35%,82.03%,100.00%,15.31%,37.46,21.21%,179.44,7.48,9.62%,31.07%,28.09%,100.00%,94.50
B07DLJB7PC,Barebells,163,34,48.00,33.00,1171.30,862.01,811.06,851.80,0,28.25%,147,52.76%,52.76%,84.62%,100.00%,20.86%,24.63,18.41%,147.26,4.21,0.92%,33.55%,33.24%,94.95%,95.70
B0BMQPP7SJ,Guylian,519,189,240.00,925.00,980.11,847.46,790.20,745.67,0,17.58%,430,22.93%,22.93%,0.00%,0.00%,36.42%,4.17,(5.54)%,-44.81,-0.22,2.18%,23.00%,22.50%,70.51%,78.00
B07PKDH8PT,WONDERFUL,143,68,108.00,39.00,1429.00,844.07,850.57,826.53,0,15.49%,139,36.36%,36.36%,49.09%,100.00%,47.55%,12.06,0.23%,2.00,0.03,(9.73)%,23.00%,25.24%,100.00%,79.20
B07BYNX1P6,La Molisana,223,216,977.00,1970.00,1928.44,806.47,771.33,808.45,0,57.89%,221,0.00%,0.00%,88.76%,100.00%,96.86%,3.93,30.98%,243.12,1.19,49.83%,25.83%,12.96%,45.70%,97.00
B07B3X1HZZ,TILDA,625,67,878.00,562.00,17593.21,799.61,796.39,745.46,0,(27.63)%,517,16.16%,16.16%,98.80%,88.85%,10.72%,10.81,(55.82)%,-445.29,-6.02,(85.44)%,31.20%,57.85%,99.05%,91.90
B084MM33XK,Suntop,191,178,0.00,20.00,0.00,784.76,767.66,767.28,0,(10.21)%,170,10.99%,10.99%,0.00%,0.00%,93.19%,4.41,(50.73)%,-409.03,-2.30,(19.12)%,9.21%,10.98%,52.35%,0
B000R73XZ0,Bragg,503,159,120.00,1.00,628.90,774.80,756.15,740.76,0,(11.59)%,493,3.58%,3.58%,53.33%,100.00%,31.61%,4.72,(61.61)%,-497.37,-3.03,(10.93)%,2.17%,2.40%,54.20%,95.00
B07NF847QH,TILDA,509,126,912.00,1372.00,7572.99,736.25,729.48,719.13,290.85,4.19%,462,0.20%,0.20%,67.56%,100.00%,24.75%,5.71,(28.40)%,-213.52,-1.66,(45.49)%,34.55%,50.27%,32.24%,91.20
B00GKX89SQ,Whittaker,287,110,232.00,746.00,1367.47,724.50,682.11,672.09,0,28.83%,277,13.59%,13.59%,11.51%,100.00%,38.33%,6.47,8.96%,62.93,0.56,8.88%,28.19%,25.69%,56.27%,98.50
B0B82VTXNL,Mr Makhana,109,225,577.00,463.00,1405.96,704.11,675.66,667.78,0,77.00%,109,0.00%,0.00%,100.00%,100.00%,206.42%,3.07,44.54%,310.94,1.36,20.75%,76.09%,60.30%,47.71%,78.20
B00BLK5AKI,Gerber,484,129,102.00,80.00,653.15,690.39,690.38,685.25,0,12.99%,469,10.95%,10.95%,100.00%,100.00%,26.65%,5.31,(21.93)%,-154.64,-1.19,(20.58)%,28.28%,34.10%,60.48%,90.50
B00NRML2UK,Dilmah,173,72,132.00,65.00,1344.78,673.60,676.09,679.98,306.46,21.70%,172,0.00%,0.00%,80.00%,166.67%,41.62%,9.36,(1.22)%,-8.33,-0.12,(8.90)%,28.32%,30.84%,54.65%,100.00
B00PCCR1FI,India Gate,764,182,1089.00,13.00,3113.08,632.97,615.95,624.33,0,17.86%,729,1.57%,1.57%,78.63%,13.66%,23.82%,3.52,(31.00)%,-196.34,-1.09,18.71%,2.09%,1.70%,38.68%,68.70
B087GLG43J,Stone Chocolate,353,84,83.00,7.00,607.41,619.89,618.92,666.88,0,29.94%,323,25.78%,25.78%,40.87%,100.00%,23.80%,8.05,8.35%,52.80,0.69,9.10%,23.71%,21.56%,0.00%,80.90
B088F995XR,Freakin' Healthy,51,25,13.00,16.00,361.01,614.99,576.24,576.24,498.82,15.91%,50,0.00%,0.00%,100.00%,50.00%,49.02%,24.60,4.16%,25.79,1.03,(12.89)%,26.22%,29.60%,0.00%,98.50
B08H323F75,M.C. Trader,259,90,52.00,0.00,373.18,608.89,608.41,678.50,0,28.29%,257,56.76%,56.76%,71.43%,100.00%,34.75%,7.52,0.84%,5.12,0.06,4.53%,24.90%,23.77%,0.00%,92.50
B08BFBXQGZ,La Molisana,117,202,465.00,464.00,1126.72,606.60,577.60,604.73,0,37.93%,116,0.00%,0.00%,59.48%,100.00%,172.65%,3.13,2.98%,17.68,0.09,22.51%,26.37%,20.43%,53.45%,84.50
B07G9KXXSN,TILDA,269,27,73.00,53.00,2489.28,575.07,570.41,788.35,689.32,26.89%,246,26.39%,26.39%,90.24%,100.00%,10.04%,30.27,10.53%,60.92,3.21,(12.66)%,35.83%,40.36%,100.00%,78.70
B005LLZ3QY,Tetley,135,80,455.00,426.00,2669.51,550.54,546.72,516.83,0,14.60%,132,0.00%,0.00%,88.18%,100.00%,59.26%,6.19,(17.82)%,-97.91,-1.10,5.15%,10.65%,10.10%,100.00%,100.00
B0014CYR98,UNKNOWN,193,87,192.00,77.00,634.07,541.03,532.12,398.31,0,35.47%,179,27.46%,27.46%,35.19%,100.00%,45.08%,4.70,(5.94)%,-32.48,-0.28,29.80%,10.97%,7.70%,70.18%,84.50
B07NF69CGR,Bundaberg,1,198,120.00,108.00,375.71,539.06,554.16,554.18,0,(5.02)%,1,0.00%,0.00%,100.00%,100.00%,"19,800.00%",2.72,(26.61)%,-152.10,-0.77,(15.00)%,9.55%,10.98%,100.00%,0.00
B07G9L7NL2,TILDA,216,125,113.00,320.00,476.85,531.44,515.50,527.80,0,21.24%,203,0.00%,0.00%,85.84%,100.00%,57.87%,4.36,(10.08)%,-54.00,-0.44,3.13%,21.54%,20.87%,40.91%,93.20
B000WGE26A,Gerber,245,100,36.00,58.00,218.07,510.48,512.21,507.40,0,13.74%,237,0.00%,0.00%,100.00%,50.00%,40.82%,5.05,(10.57)%,-55.98,-0.55,(19.85)%,28.28%,33.89%,61.68%,83.30
B00BLK5E7W,Gerber,440,71,84.00,14.00,620.21,510.18,505.29,493.98,13.96,16.78%,375,50.68%,50.68%,84.03%,12.47%,16.14%,6.99,(14.09)%,-70.29,-0.96,(5.65)%,23.51%,24.83%,99.40%,95.80
B00DIREC0Q,La Molisana,162,175,312.00,553.00,849.43,503.12,481.68,501.38,0,27.12%,161,0.00%,0.00%,38.89%,100.00%,108.02%,2.99,(10.13)%,-49.82,-0.30,9.09%,24.92%,22.66%,0.00%,81.00
B087GM93C9,Americandy,635,114,225.00,300.00,891.90,500.27,490.38,490.15,0,28.14%,598,0.00%,0.00%,50.00%,100.00%,17.95%,4.35,(26.77)%,-126.74,-1.10,8.88%,24.09%,21.95%,0.00%,93.20
B0DT61H872,TATA GLOBAL BEVeRAGES,988,88,556.00,503.00,2444.67,493.64,497.77,480.36,0,30.80%,936,0.00%,0.00%,100.00%,100.00%,8.91%,5.25,(6.39)%,-32.31,-0.34,16.27%,17.60%,14.73%,0.00%,63.50
B07NF6HR38,UNKNOWN,217,408,2184.00,1632.00,2461.65,489.77,495.48,507.86,0,17.01%,211,0.00%,0.00%,47.59%,100.00%,188.02%,1.23,(45.47)%,-231.85,-0.58,8.41%,10.00%,9.16%,67.36%,75.00
B084VPP1M5,Suntop,137,109,180.00,94.00,945.32,487.35,488.72,488.77,0,(6.13)%,128,25.55%,25.55%,100.00%,100.00%,79.56%,4.47,(40.76)%,-205.23,-1.88,(17.46)%,10.00%,11.75%,57.81%,90.80
B094P139XJ,Red Band,262,257,151.00,189.00,189.11,469.82,468.04,472.28,0,45.95%,260,0.00%,0.00%,0.21%,33.71%,98.09%,1.84,(11.59)%,-55.93,-0.22,32.03%,23.96%,16.29%,46.74%,78.70
B0014CXH1C,Gerber,234,47,1.00,34.00,10.96,459.16,467.13,458.34,0,18.78%,202,1.71%,1.71%,0.00%,1.89%,20.09%,9.57,(5.56)%,-26.74,-0.56,(14.58)%,29.21%,33.47%,100.00%,94.50
B0BVQBSBV8,Barebells,534,48,0.00,21.00,0.00,448.93,411.46,1662.35,0,31.26%,480,69.85%,69.85%,7.37%,100.00%,8.99%,29.93,24.86%,103.16,6.88,(13.13)%,46.61%,52.73%,76.86%,82.00
B005FBKVZ8,Dilmah,268,95,167.00,82.00,917.51,448.55,449.94,489.75,247.65,22.61%,259,0.75%,0.75%,0.00%,100.00%,35.45%,5.16,(15.16)%,-68.88,-0.79,(6.56)%,28.02%,29.86%,59.46%,82.50
B0D2P6KRB1,Tata Soulfull,864,156,1105.00,636.00,4614.88,439.88,446.62,449.93,0,(23.63)%,823,14.47%,14.47%,96.90%,100.00%,18.06%,2.84,(74.69)%,-349.45,-2.25,(47.16)%,16.11%,23.70%,65.66%,67.50
B098S3TW7Q,La Molisana,245,159,335.00,353.00,843.64,437.47,418.62,421.35,0,27.78%,242,0.00%,0.00%,41.45%,100.00%,64.90%,2.77,(28.52)%,-123.27,-0.78,9.05%,25.51%,23.20%,0.00%,61.50
B07Z7GQJBF,Costa dÓro,120,40,114.00,74.00,1163.88,434.26,428.75,426.02,0,28.62%,116,6.67%,6.67%,38.36%,100.00%,33.33%,11.13,7.01%,30.19,0.77,8.31%,26.29%,24.10%,0.00%,84.20
B0F793ZNSD,Barebells,310,12,12.00,1.00,406.29,430.89,423.36,423.36,0,28.67%,290,84.52%,84.52%,0.00%,100.00%,3.87%,35.91,19.85%,86.51,7.21,5.71%,24.50%,23.10%,100.00%,73.00
B0CD87Z6VY,Rhythm 108,77,90,47.00,94.00,213.44,430.15,405.87,421.93,0,26.53%,77,0.00%,0.00%,34.55%,100.00%,116.88%,4.94,0.40%,1.68,0.02,8.15%,26.06%,23.94%,0.00%,85.80
B002R1IWBO,The Jelly Bean Factory,119,85,107.00,17.00,440.17,429.71,418.51,401.58,0,31.52%,119,27.73%,27.73%,0.00%,100.00%,71.43%,4.77,0.10%,0.43,0.00,13.84%,24.87%,21.43%,63.03%,75.00
B07HNSPY84,Dilmah,129,70,96.00,52.00,656.02,428.71,429.96,438.95,295.23,22.22%,129,0.00%,0.00%,20.00%,100.00%,54.26%,6.12,(4.49)%,-19.49,-0.28,(11.58)%,30.49%,34.02%,0.00%,81.00
B00L28D0QU,American Garden,511,118,1072.00,618.00,2874.77,422.84,412.42,361.52,0,27.24%,461,12.33%,12.33%,82.35%,100.00%,23.09%,3.13,(18.83)%,-80.44,-0.60,14.37%,18.36%,15.72%,50.13%,91.50
B093YYK5DK,Nabati,359,119,340.00,280.00,1295.92,408.95,410.37,407.04,0,13.30%,317,5.85%,5.85%,46.15%,100.00%,33.15%,3.41,(19.48)%,-83.35,-0.69,(11.84)%,22.87%,25.57%,100.00%,85.00
B01285C2BY,TILDA,276,109,4283.00,4173.00,18073.92,400.53,397.24,411.70,286.20,21.48%,254,0.00%,0.00%,52.61%,74.50%,39.49%,3.78,(24.97)%,-103.18,-0.97,(11.68)%,30.36%,33.91%,48.65%,91.20
B004ZK343G,ROCA,152,56,156.00,99.00,849.43,378.74,383.31,352.29,0,80.74%,148,13.82%,13.82%,100.00%,100.00%,36.84%,5.92,58.07%,226.25,3.54,7.99%,79.12%,72.80%,0.00%,70.50
B0B82WSFTV,Mr Makhana,157,374,861.00,1473.00,925.92,372.98,358.63,356.93,0,69.46%,156,0.00%,0.00%,100.00%,100.00%,238.22%,0.99,(6.11)%,-22.99,-0.06,(8.41)%,75.87%,82.25%,37.76%,78.20
B00D6BMXDM,Alitea,215,105,127.00,1.00,752.72,369.04,351.61,372.55,177.66,(7.75)%,185,43.72%,43.72%,0.12%,100.00%,48.84%,3.69,(43.45)%,-158.87,-1.59,(60.60)%,35.60%,57.17%,80.10%,0
B08CSRN82W,Mr Makhana,178,145,305.00,162.00,743.18,366.74,355.10,355.10,0,72.79%,171,3.93%,3.93%,100.00%,100.00%,81.46%,2.53,32.69%,118.65,0.82,3.66%,75.48%,72.71%,0.00%,83.20
B07PBKWD24,Oronamin,318,218,739.00,474.00,1327.89,362.65,356.10,302.99,0,(24.13)%,310,10.06%,10.06%,27.12%,100.00%,68.55%,1.31,(71.43)%,-269.11,-0.98,(36.66)%,9.50%,12.98%,26.77%,0.00
B00RUCFLR8,Foster Clarks,1177,508,1978.00,1435.00,1200.89,361.99,368.25,334.62,0,15.32%,1102,6.20%,6.20%,20.26%,100.00%,43.16%,0.64,(124.17)%,-517.01,-0.92,5.41%,10.96%,10.37%,35.22%,89.40
B09RWVXZ66,Lago,114,68,312.00,361.00,1189.20,360.74,341.19,283.69,0,27.46%,112,27.19%,27.19%,31.53%,100.00%,59.65%,3.68,(4.79)%,-17.09,-0.17,(3.55)%,35.28%,36.53%,60.71%,76.70
B00CAUABOS,Gerber,242,71,84.00,35.00,484.60,355.28,357.50,356.93,0,16.92%,218,16.12%,16.12%,100.00%,48.15%,29.34%,5.00,(12.54)%,-46.61,-0.66,(15.29)%,28.48%,32.84%,59.72%,85.80
B015J4UYEI,Askeys,234,95,304.00,334.00,1204.23,353.79,356.05,353.01,225.01,22.56%,234,0.00%,0.00%,0.00%,0.00%,40.60%,3.65,(19.61)%,-71.05,-0.73,(8.61)%,29.72%,32.28%,55.98%,95.00
B083VKDQ3P,TATA,372,107,817.00,607.00,2455.64,346.51,347.07,347.21,0,21.29%,355,0.00%,0.00%,99.31%,100.00%,28.76%,3.24,(26.51)%,-94.77,-0.89,7.19%,16.01%,14.86%,46.26%,100.00
B07P76G5DQ,American Classic,641,132,12.00,3.00,29.40,346.31,341.79,344.33,0,22.45%,632,1.40%,1.40%,0.00%,0.00%,20.59%,2.64,(24.78)%,-88.78,-0.68,7.31%,18.50%,17.15%,24.84%,90.00
B087GL3GHB,Nom Noms,369,126,128.00,37.00,312.24,343.38,337.42,343.73,0,30.22%,333,27.10%,27.10%,8.75%,100.00%,34.15%,2.75,(27.67)%,-96.15,-0.77,11.20%,24.63%,21.87%,79.66%,94.20
B07FD6XPLF,Wella Koleston,459,140,124.00,44.00,660.33,342.29,348.65,365.98,0,(17.57)%,451,0.22%,0.22%,0.00%,19.12%,30.50%,2.61,(69.78)%,-242.40,-1.85,(103.81)%,42.47%,86.56%,51.79%,100.00
B093YXPPWS,Nabati,304,78,221.00,171.00,842.35,341.90,338.77,338.84,0,31.69%,270,13.49%,13.49%,66.48%,100.00%,25.66%,4.38,0.59%,1.99,0.03,13.04%,23.00%,20.00%,0.00%,85.00
B07NF8TFJW,Namakin,161,112,190.00,7.00,517.28,339.31,333.59,362.70,0,33.12%,157,19.25%,19.25%,3.86%,96.42%,69.57%,3.29,(8.59)%,-29.74,-0.29,17.36%,22.78%,18.82%,90.63%,78.00
B083VKRTPS,TATA,367,124,129.00,4.00,549.99,336.51,332.38,335.83,0,(32.10)%,335,15.53%,15.53%,13.40%,100.00%,33.79%,2.74,(84.85)%,-301.72,-2.45,(55.84)%,15.84%,24.68%,97.76%,100.00
B08H6P5677,Mr Makhana,74,127,265.00,235.00,645.72,327.02,315.14,315.90,0,72.46%,74,0.00%,0.00%,99.26%,100.00%,171.62%,2.57,37.46%,122.25,0.96,5.37%,74.89%,70.86%,54.05%,78.20
B087GK96DX,Rico,459,83,358.00,202.00,1091.63,320.51,322.97,284.85,0,28.45%,455,13.94%,13.94%,36.75%,100.00%,18.08%,3.21,(32.78)%,-111.83,-1.12,4.86%,27.57%,26.23%,0.00%,93.70
B087GJHC2B,Nom Noms,322,87,90.00,35.00,269.53,302.94,290.92,290.99,0,33.23%,285,45.34%,45.34%,2.24%,100.00%,27.02%,3.48,1.60%,4.86,0.06,14.00%,26.98%,23.20%,90.29%,75.00
B00JSCMGJ4,Gerber,148,46,42.00,27.00,254.42,299.18,298.41,298.48,0,32.76%,146,57.43%,57.43%,38.89%,100.00%,31.08%,6.50,1.76%,5.49,0.12,8.89%,27.25%,24.82%,0.00%,52.50
B081LFRBNG,Mr Makhana,264,265,878.00,811.00,944.20,289.63,283.45,285.90,0,70.84%,260,0.00%,0.00%,100.00%,100.00%,100.38%,1.10,(2.07)%,-6.14,-0.02,1.97%,74.28%,72.81%,43.85%,78.20
B088FH4VG8,UNKNOWN,88,60,36.00,49.00,148.39,288.02,282.91,281.81,0,25.91%,86,0.00%,0.00%,100.00%,100.00%,68.18%,4.80,(10.87)%,-31.34,-0.52,14.13%,15.96%,13.71%,56.45%,59.90
B091VPBF8Q,American Garden,649,53,414.00,258.00,1836.09,286.08,278.60,253.72,0,21.86%,587,25.58%,25.58%,79.12%,100.00%,8.17%,4.85,(24.07)%,-71.65,-1.21,8.53%,18.50%,16.92%,48.29%,96.70
B00X9MYZXO,Bazooka,197,20,71.00,62.00,1043.82,282.92,279.75,263.12,0,14.10%,194,8.12%,8.12%,45.51%,100.00%,10.15%,12.86,(4.88)%,-14.02,-0.64,(13.65)%,25.40%,28.87%,52.06%,95.00
B07PKQH3R5,Loyal,663,56,106.00,73.00,418.07,278.52,277.16,289.31,13.97,36.61%,645,0.00%,0.00%,18.92%,100.00%,8.45%,5.16,(7.45)%,-20.77,-0.38,22.54%,20.35%,15.76%,44.40%,82.50
B0CB84DSJZ,Candyland,254,185,350.00,293.00,453.57,277.83,279.39,281.56,0,74.58%,242,0.00%,0.00%,90.90%,99.55%,72.83%,1.48,12.43%,37.28,0.20,12.31%,77.70%,68.14%,0.00%,85.00
B087GJVRX3,Maikom,100,32,38.00,39.00,331.06,276.94,272.44,299.26,0,29.72%,96,21.00%,21.00%,0.00%,100.00%,32.00%,9.55,(0.21)%,-0.58,-0.02,8.77%,24.13%,22.01%,88.30%,81.00
B0F331Z81L,Barebells,96,9,49.00,47.00,1195.70,276.81,276.81,276.81,0,40.10%,50,66.67%,66.67%,0.00%,0.00%,9.38%,30.76,31.52%,87.95,9.77,20.66%,24.50%,19.44%,0.00%,76.90
B07NF7MFKX,Tetley,55,27,247.00,223.00,2375.15,275.32,272.77,259.97,0,9.06%,47,29.09%,29.09%,100.00%,100.00%,49.09%,9.49,(15.01)%,-40.31,-1.39,(1.29)%,10.97%,11.11%,69.77%,98.50
B08VQMVBKG,Little Freddie,68,92,231.00,138.00,586.77,274.27,258.41,258.40,0,30.87%,65,27.94%,27.94%,50.00%,67.39%,135.29%,2.98,(2.59)%,-6.68,-0.07,14.79%,25.43%,21.67%,75.81%,83.50
B07NCYSD4M,Suntop,22,20,0.00,40.00,0.00,267.69,267.69,283.14,0,20.70%,22,0.00%,0.00%,0.00%,0.00%,90.91%,14.09,(3.65)%,-10.02,-0.53,11.88%,10.00%,8.81%,0.00%,62.50
B007TQG23C,Fruit Roll-Ups,97,15,131.00,41.00,494.98,265.97,264.83,128.60,0,45.54%,96,70.10%,70.10%,100.00%,100.00%,15.46%,5.66,6.79%,18.87,0.40,27.04%,25.95%,18.94%,100.00%,93.30
B00MWVY52O,TILDA,84,26,13.00,58.00,103.45,264.68,261.79,261.80,0,37.64%,82,0.00%,0.00%,100.00%,100.00%,30.95%,10.18,20.35%,54.60,2.10,21.83%,21.32%,16.66%,34.18%,85.70
