ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B07W15T3RH,Cala,5,1,1.00,1.00,5.47,10.50,10.50,10.50,0,87.49%,2,60.00%,60.00%,100.00%,100.00%,20.00%,10.50,70.38%,7.51,7.51,47.89%,76.00%,39.61%,0.00%,82.50
B083VKRRWG,TATA,32,4,105.00,91.00,233.84,10.27,10.27,10.27,0,27.11%,0,0.00%,0.00%,100.00%,100.00%,12.50%,2.57,(12.16)%,-1.28,-0.32,13.26%,15.97%,13.86%,75.00%,93.50
B087GLG43H,Geeef,30,1,1.00,0.00,9.15,10.06,10.06,10.06,0,30.00%,30,90.00%,90.00%,28.57%,100.00%,3.33%,10.06,(1.79)%,-0.19,-0.19,9.09%,23.00%,20.91%,0.00%,81.20
B01LWMCL01,Cala,7,1,0.00,3.00,0.00,9.85,9.85,9.85,0,85.48%,7,0.00%,0.00%,0.00%,0.00%,14.29%,9.85,71.31%,7.11,7.11,39.49%,76.00%,45.99%,80.00%,80.80
B087GKX9GM,Lechao,29,1,2.00,0.00,8.54,9.82,9.33,4.91,0,33.04%,29,100.00%,100.00%,33.33%,100.00%,3.45%,4.91,(26.00)%,-2.69,-1.34,13.03%,28.74%,24.99%,0.00%,77.50
B0095DQJ30,Foster Clarks,25,12,30.00,28.00,22.22,9.80,11.10,11.11,0,19.29%,25,80.00%,80.00%,44.44%,100.00%,48.00%,0.82,(44.30)%,-5.14,-0.43,9.33%,10.98%,9.95%,88.00%,75.00
B083VK8HZK,Tetley,9,3,4.00,1.00,11.48,9.80,9.80,9.80,0,19.19%,9,77.78%,77.78%,0.00%,0.00%,33.33%,3.27,(40.03)%,-4.27,-1.42,12.17%,8.00%,7.03%,0.00%,100.00
B083VKVVJZ,Al Rifai,1,1,2.00,0.00,7.26,9.67,9.43,4.59,0,30.59%,1,0.00%,0.00%,0.00%,0.00%,100.00%,4.84,(34.15)%,-3.37,-1.69,24.89%,10.96%,8.23%,0.00%,73.40
B0881M44VG,Erko,134,10,46.00,1.00,128.49,9.64,9.64,31.34,0,33.05%,133,56.72%,56.72%,11.34%,100.00%,7.46%,3.21,(22.55)%,-2.37,-0.79,13.05%,23.00%,20.00%,77.88%,80.00
B09BVT2CS7,UNKNOWN,3,10,0.00,4.00,0.00,9.53,8.58,8.58,0,20.39%,3,0.00%,0.00%,0.00%,0.00%,333.33%,0.95,(24.78)%,-2.26,-0.23,12.00%,20.84%,18.34%,0.00%,62.50
B08GL7GF37,CASANOVA,10,1,1.00,0.00,8.17,9.39,9.39,9.39,0,40.00%,10,0.00%,0.00%,0.00%,0.00%,10.00%,9.39,31.48%,2.97,2.97,13.04%,31.00%,26.96%,0.00%,64.40
B082HHBYD6,JULIE'S,32,6,15.00,48.00,36.75,9.28,9.28,13.92,0,26.58%,30,34.38%,34.38%,33.33%,100.00%,18.75%,2.32,(34.08)%,-3.45,-0.86,(5.63)%,30.50%,32.22%,75.86%,81.00
B07NF946MS,Coroli,15,3,0.00,0.00,0.00,9.27,9.27,9.27,0,30.78%,7,66.67%,66.67%,8.33%,109.09%,20.00%,3.09,(35.47)%,-3.62,-1.21,23.08%,10.00%,7.69%,0.00%,0
B0DPXFVLHM,Lilly & Luna,26,8,9.00,17.00,9.31,9.05,8.73,10.04,0,77.22%,25,0.00%,0.00%,83.33%,100.00%,30.77%,1.29,23.87%,2.09,0.30,20.00%,76.00%,60.80%,0.00%,87.50
B07PR97QFD,Suntop,18,3,0.00,0.00,0.00,8.87,8.87,8.87,0,14.72%,10,0.00%,0.00%,0.00%,0.00%,16.67%,2.96,(50.49)%,-5.02,-1.67,5.25%,10.00%,9.48%,0.00%,0
B0FGD6YX63,Candyland,15,1,24.00,64.00,186.68,8.82,8.82,8.82,0,78.82%,15,0.00%,0.00%,0.00%,0.00%,6.67%,8.82,41.37%,3.85,3.85,11.77%,76.00%,67.06%,0.00%,78.70
