ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B00L2ZKQ92, 7, 4,325,32502020,"Herbs, Spices, Sea", 2,Grocery, 133.59
B0DT63965V, 1, 5,325,32502579,Cereals, 2,Grocery, 122.5
B07RN74QSC, 10, 4,325,32503030,"Pasta, Sauces & Pizza", 1,Grocery, 333.86
B00L2ZKUVG, 152, 4,325,32502060,Seasonal Condiment, 1,Grocery, 2.56
B00L2ZKP0M, 1, 5,325,32503030,"Pasta, Sauces & Pizza", 1,Grocery, 158.06
B083VKCGWQ, 1, 5,325,32501040,Fillings,,Grocery, 180.48
B00L2ZKGHE," 1,049", 4,325,32501080,"Syrups, Sweeteners, Extracts & Vanilla",,Grocery," 1,456.59"
B083VKH3K9, 18, 4,325,32595015,Vegetables,,Grocery, 124.03
B01CEIFG4A, 10, 4,325,32550055,Bakery,,Grocery, 82.48
B01AERH4WU, 60, 4,325,32502040,Oils & Vinegars,,Grocery, 246.19
B083VKGY29, 23, 4,325,32592005,Tea,,Grocery, 781.49
B07G8CWVGD, 9, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 229.17
B00L305VAU, 187, 4,325,UNKNOWN,UNKNOWN,,Grocery, 427.49
B083VKDQ5R, 9, 3,325,32502060,Seasonal Condiment,,Grocery, 344.63
B07NF8729H, 21, 4,325,32502050,Cooking Ingredient,,Grocery, 274.
B083VKML59, 16, 4,325,32595015,Vegetables,,Grocery, 426.37
B00L2ZKWCI, 55, 5,325,32550085,Seasonings & Sauces,,Grocery, 437.59
B083VKH3K8, 14, 4,325,32595015,Vegetables,,Grocery, 242.73
B083VKRS2P, 9, 4,325,32598005,Rice,,Grocery, 928.33
B00L305TGG, 54, 4,325,UNKNOWN,UNKNOWN,,Grocery, 317.76
B00L2ZKNL8, 17, 4,325,32503030,"Pasta, Sauces & Pizza",,Grocery," 1,123.61"
B07G9D3B8F, 20, 5,325,32598005,Rice,,Grocery," 1,325.57"
B00L2ZKJ3A, 136, 4,325,32598020,Cooking Sauces,,Grocery," 1,350.81"
B00L2ZL4V6, 54, 5,325,32502020,"Herbs, Spices, Sea",,Grocery," 4,863.91"
B00L2ZLGQE, 74, 4,325,32502030,Pickled Vegetables,,Grocery," 1,348.29"
B07PH3ZW8T, 8, 4,325,32502030,Pickled Vegetables,,Grocery, 625.6
B07PCMFZ1L, 18, 5,325,32550055,Bakery,,Grocery, 335.24
B00L2ZLJQG, 181, 4,325,UNKNOWN,UNKNOWN,,Grocery, 638.56
B07PFYFQPJ, 31, 5,325,32550045,Canned Goods,,Grocery, 698.75
B07PGTW6PZ, 24, 3,325,32599030,Chocolate,,Grocery, 229.53
B00MWVY52O, 176, 4,325,32598005,Rice,,Grocery," 2,861.03"
B00L2ZK5P2, 321, 4,325,32550085,Seasonings & Sauces,,Grocery, 154.71
B083VKYQP7, 4, 5,325,32595015,Vegetables,,Grocery, 101.09
B07NF7VR7Y, 39, 4,325,32502030,Pickled Vegetables,,Grocery, 415.56
B083VKDMJ8, 14, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 571.53
B07PCDZ634, 6, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 110.56
B0058MKHIU, 89, 4,325,32598005,Rice,,Grocery," 1,705.75"
B00L2ZLC86, 15, 5,325,32502020,"Herbs, Spices, Sea",,Grocery, 346.42
B00CABG8WG, 28, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 509.2
B07NF86HPC, 6, 5,325,32595015,Vegetables,,Grocery, 249.82
B07RVJGVNR, 9, 4,325,32503030,"Pasta, Sauces & Pizza",,Grocery, 296.4
B07NF5Y85R, 31, 4,325,32502030,Pickled Vegetables,,Grocery, 900.1
B07NF6MPF7, 20, 5,325,32502020,"Herbs, Spices, Sea",,Grocery," 1,224.91"
B07P68FGXQ, 59, 4,325,32595010,Meat,,Grocery," 1,366.4"
B083VKZNZQ, 12, 4,325,32595015,Vegetables,,Grocery, 676.61
B07HFCZMBW, 19, 4,325,32550045,Canned Goods,,Grocery, 360.07
B07NF942SP, 33, 5,325,32502030,Pickled Vegetables,,Grocery," 1,046.71"
