ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B00D2PKZ4Q,Gerber,267,86,90.00,1.00,363.38,329.16,319.80,319.80,19.76,18.06%,205,16.32%,16.32%,100.00%,23.40%,32.21%,3.83,(35.34)%,-115.64,-1.34,(5.49)%,25.65%,27.06%,53.24%,0
B087GJFD7K,Freakin Healthy,468,127,124.00,7.00,298.88,325.79,315.94,316.86,0,23.68%,445,8.35%,8.35%,92.86%,93.33%,27.14%,2.57,(31.88)%,-104.67,-0.82,5.09%,23.87%,22.65%,100.00%,98.50
B079H3CX14,Ching's Secret,1279,255,850.00,188.00,962.69,325.04,317.72,319.26,0,19.25%,1099,9.00%,9.00%,87.63%,94.54%,19.94%,1.27,(91.80)%,-324.05,-1.27,11.10%,13.43%,11.94%,52.61%,89.20
B078S3YL6S,Vitamilk,518,206,172.00,0.00,290.33,324.29,327.81,336.60,0,9.30%,446,17.12%,17.12%,51.75%,100.00%,39.77%,1.62,(65.12)%,-209.56,-1.05,(4.10)%,13.19%,13.73%,100.00%,80.00
B0847QHPHD,Bazooka Candy Brands,1052,184,322.00,22.00,540.02,319.43,303.56,307.43,47.76,27.28%,955,16.12%,16.12%,54.25%,100.00%,17.49%,1.76,(36.14)%,-118.87,-0.65,4.44%,29.33%,28.03%,82.96%,95.00
B01M4LJ19V,Splenda,814,93,110.00,0.00,395.01,318.87,312.29,376.10,0,21.22%,617,75.98%,75.98%,9.93%,91.34%,11.43%,4.09,(26.43)%,-86.35,-1.11,12.16%,13.00%,11.42%,100.00%,0
B07NF86HPC,American Garden,348,114,90.00,14.00,162.94,315.22,307.89,307.93,1.86,43.77%,323,6.90%,6.90%,82.61%,85.19%,32.76%,2.77,(5.22)%,-16.84,-0.15,34.52%,18.50%,12.11%,41.46%,73.00
B07PCMFZ1L,American Garden,680,104,300.00,35.00,927.84,312.73,302.86,327.44,8.05,18.68%,615,11.91%,11.91%,88.32%,100.00%,15.29%,3.26,(35.21)%,-111.72,-1.16,5.06%,18.31%,17.38%,47.33%,90.00
B00L2ZLC86,American Garden,358,108,91.00,0.00,224.21,310.40,309.12,309.54,0,28.03%,296,13.80%,13.80%,92.31%,51.12%,30.17%,2.87,(30.93)%,-102.16,-0.95,14.27%,18.33%,15.71%,0.00%,0
B01LCWZEAU,Hectare's,319,318,481.00,93.00,417.74,308.85,299.48,311.25,0,28.14%,317,31.66%,31.66%,75.31%,100.00%,99.69%,1.00,(55.06)%,-171.79,-0.56,13.39%,24.51%,21.23%,56.72%,79.20
B07NF773RN,Namakin,301,85,231.00,12.00,808.14,308.67,297.98,302.44,69.42,31.46%,289,9.97%,9.97%,60.19%,98.72%,28.24%,3.67,(33.07)%,-92.51,-1.10,4.79%,31.06%,29.57%,57.35%,66.20
B07NF7V8JF,Labi Xiao Xin,953,87,102.00,21.00,374.89,308.59,298.77,302.02,0,18.81%,866,24.97%,24.97%,74.29%,100.00%,9.13%,3.59,(38.74)%,-119.79,-1.39,(2.43)%,25.12%,25.73%,79.61%,87.50
B09NKTVZVL,BN,186,88,100.00,10.00,299.48,306.77,297.47,300.07,0,30.33%,174,40.32%,40.32%,40.07%,100.00%,47.31%,3.49,(35.40)%,-107.01,-1.22,14.09%,23.11%,19.86%,50.77%,74.00
B083VKKHVC,Tata Global Beverages,770,107,502.00,76.00,1228.67,306.26,299.56,299.63,0,23.94%,630,12.92%,12.92%,97.05%,98.45%,13.90%,2.86,(42.09)%,-130.82,-1.22,14.49%,13.18%,11.27%,45.93%,98.50
B0DQR5L658,Castello since 1907,640,64,67.00,0.00,311.92,304.34,295.38,295.43,0,20.19%,611,14.60%,14.60%,37.02%,79.74%,10.00%,4.76,5.03%,15.49,0.24,2.10%,21.99%,21.53%,37.89%,0
B001BON63M,Warheads,2920,126,199.00,1.00,508.35,303.73,304.88,327.64,2.33,26.37%,2876,26.17%,26.17%,72.62%,58.33%,4.32%,2.57,(39.80)%,-118.16,-1.00,3.92%,26.57%,25.53%,99.89%,85.00
B07RVJGVNR,American Garden,1277,94,466.00,98.00,1436.62,302.92,282.98,282.99,5.55,15.57%,1146,4.23%,4.23%,92.97%,85.40%,7.36%,3.22,(41.28)%,-122.91,-1.31,3.91%,18.83%,18.10%,23.39%,98.30
B097CXWYKL,DEEMAH,401,89,48.00,0.00,157.73,299.24,281.88,280.82,107.67,30.68%,306,33.33%,33.33%,25.00%,100.00%,22.19%,3.44,(7.65)%,-22.02,-0.25,4.46%,35.45%,33.87%,0.00%,71.50
B087GJFD7B,Freakin' Healthy,171,16,13.00,1.00,205.14,297.50,296.15,296.35,40.58,37.91%,161,11.11%,11.11%,86.67%,57.69%,9.36%,18.59,22.80%,68.04,4.25,15.13%,27.68%,23.49%,80.00%,94.50
B07XG54FLQ,Suncola,113,24,15.00,0.00,168.01,296.86,296.86,296.86,46.44,18.13%,99,12.73%,12.73%,68.75%,100.00%,21.24%,12.37,(10.47)%,-31.86,-1.33,9.45%,9.58%,8.68%,48.08%,82.00
B0BZVMBMJZ,Chings Secret,863,197,428.00,6.00,691.18,296.39,283.09,309.53,0,19.27%,717,21.86%,21.86%,31.09%,76.11%,22.83%,1.64,(104.94)%,-313.40,-1.73,7.37%,18.13%,16.79%,60.13%,80.90
B00L305TGG,American Garden,602,227,242.00,2.00,269.47,294.57,283.31,283.33,0,25.89%,547,3.54%,3.54%,67.25%,42.64%,37.71%,1.30,(54.33)%,-163.58,-0.72,14.19%,18.50%,15.87%,32.00%,95.00
B079HP47FS,Gerber,182,71,128.00,2.00,479.86,290.46,280.12,256.51,5.91,21.38%,129,45.25%,45.25%,89.80%,32.67%,39.01%,3.72,(44.29)%,-127.46,-1.63,(0.67)%,25.44%,25.61%,60.56%,83.30
B07NCJ2179,Bazooka,203,13,12.00,3.00,310.37,288.07,280.78,280.92,36.60,17.94%,178,17.73%,17.73%,85.71%,100.00%,6.40%,22.16,2.62%,7.42,0.57,(16.72)%,32.63%,38.08%,73.20%,95.00
B07P76HLLL,American Garden,470,56,24.00,0.00,131.33,287.35,281.89,281.92,46.96,11.58%,434,0.44%,0.44%,66.67%,100.00%,11.91%,5.13,(46.47)%,-135.83,-2.43,(6.65)%,18.53%,19.76%,45.48%,97.00
B076KP39PC,Bazooka,279,15,100.00,24.00,2041.90,286.83,273.87,273.88,17.83,21.37%,225,24.73%,24.73%,89.38%,100.00%,5.38%,19.12,(2.26)%,-5.98,-0.40,(6.78)%,30.60%,32.68%,59.55%,87.50
B0DDCMJ6TT,Chings,338,112,309.00,70.00,604.87,286.64,276.68,276.32,0,30.42%,327,17.46%,17.46%,88.31%,99.09%,33.14%,2.56,(51.24)%,-145.46,-1.30,23.51%,13.58%,10.38%,33.33%,58.40
B092WC3MTS,Bazooka,165,17,4.00,2.00,75.10,285.25,283.78,284.00,76.96,21.71%,156,1.82%,1.82%,100.00%,100.00%,10.30%,16.78,(1.98)%,-5.72,-0.34,(11.89)%,30.49%,34.12%,88.89%,87.50
B07NF624B9,Suntop,557,145,227.00,63.00,397.38,285.21,278.59,279.52,0,17.21%,452,15.41%,15.41%,49.39%,100.00%,26.03%,1.97,(66.07)%,-185.68,-1.28,11.00%,10.69%,9.51%,51.43%,81.00
B087GM4WV7,Elvan,703,103,126.00,1.00,307.36,283.55,273.56,276.06,1.74,28.74%,679,9.39%,9.39%,73.99%,57.28%,14.65%,2.78,(38.59)%,-105.17,-1.03,12.25%,25.72%,22.57%,0.00%,76.90
B087GJVRVS,Americandy,459,77,87.00,9.00,362.25,283.50,271.59,272.13,96.23,27.66%,404,25.45%,25.45%,30.95%,62.69%,16.78%,3.68,(15.96)%,-43.01,-0.56,(8.42)%,37.90%,41.09%,0.00%,84.20
B087GMVKR5,Erko,904,367,437.00,58.00,333.13,283.33,273.71,272.87,49.59,27.47%,893,7.63%,7.63%,65.44%,100.00%,40.60%,0.77,(237.29)%,-712.37,-1.93,0.72%,34.46%,34.21%,0.00%,77.50
B07MFL7W8F,UNKNOWN,452,25,84.00,1.00,581.57,283.08,285.08,285.15,0,51.98%,332,66.92%,66.92%,86.08%,35.91%,5.53%,11.32,23.57%,68.76,2.75,38.86%,21.52%,13.16%,100.00%,81.70
B07NZ1DDRG,UNKNOWN,312,20,21.00,0.00,281.29,281.56,273.17,273.03,0,25.39%,300,41.67%,41.67%,48.72%,100.00%,6.41%,14.08,1.88%,5.26,0.26,4.85%,24.70%,23.50%,51.77%,0
B0064OHZYK,Lutti,66,12,10.00,0.00,294.03,280.07,278.97,312.80,136.28,23.51%,55,57.58%,57.58%,58.33%,100.00%,18.18%,25.46,10.70%,30.15,2.74,(15.48)%,35.23%,40.68%,0.00%,80.80
B079H7X84W,Ching's Secret,1730,278,1090.00,77.00,1128.49,279.97,278.62,279.09,0,9.14%,516,4.94%,4.94%,82.18%,99.93%,16.07%,1.01,(83.88)%,-253.96,-0.91,(2.73)%,14.57%,14.97%,48.84%,76.50
B087GMBZDM,Palazi,746,41,128.00,0.00,741.57,276.75,276.80,277.56,0,32.46%,608,26.93%,26.93%,91.43%,100.00%,5.50%,6.75,(11.50)%,-32.13,-0.78,14.17%,24.70%,21.20%,63.64%,0
B0B4P6HYVX,KANNAN DEVAN,928,134,426.00,20.00,1043.82,275.72,268.24,268.83,0,(6.49)%,805,14.53%,14.53%,89.60%,94.34%,14.44%,2.06,(91.53)%,-259.41,-1.94,(19.08)%,13.03%,15.51%,77.86%,72.50
B09DGCXHQW,Vitamilk,290,66,74.00,3.00,338.23,274.17,266.94,266.80,0,16.20%,274,39.66%,39.66%,42.25%,100.00%,22.76%,4.15,(22.52)%,-60.66,-0.92,(9.97)%,26.35%,28.98%,69.07%,79.20
B07NF8729H,American Garden,2537,143,893.00,156.00,1677.54,273.67,264.43,270.42,0,17.76%,2346,14.74%,14.74%,89.32%,100.00%,5.64%,1.95,(67.69)%,-190.78,-1.36,4.07%,18.01%,17.28%,19.33%,90.00
B0C662Q2PL,TATA,443,227,446.00,1.00,467.49,273.56,258.34,258.17,0,19.15%,362,31.91%,31.91%,51.61%,98.35%,51.24%,1.21,(119.38)%,-345.54,-1.52,13.02%,13.11%,11.40%,84.30%,86.70
B07NF5YH6Z,Palazi,878,64,159.00,21.00,692.61,272.81,257.29,287.37,6.37,28.60%,789,18.79%,18.79%,94.01%,100.00%,7.29%,4.79,(45.42)%,-110.72,-1.94,8.99%,28.19%,25.65%,48.34%,70.00
B087GLG43H,Geeef,244,27,27.00,0.00,246.99,271.69,276.67,277.97,0,30.00%,234,55.87%,55.87%,48.28%,100.00%,11.07%,10.06,3.31%,9.30,0.34,9.09%,23.00%,20.91%,0.00%,81.20
B083VKYVD9,TATA,455,114,623.00,138.00,1387.44,271.55,270.18,269.69,0,17.55%,333,16.92%,16.92%,94.27%,100.00%,25.05%,2.38,(48.87)%,-140.21,-1.23,6.51%,12.94%,12.10%,0.00%,100.00
B07G8CWVGD,American Garden,466,54,38.00,3.00,180.43,271.51,264.83,264.86,12.74,16.91%,437,0.22%,0.22%,100.00%,100.00%,11.59%,5.03,(21.43)%,-57.22,-1.06,5.57%,16.14%,15.24%,37.36%,97.00
B00145AQQI,UNKNOWN,552,93,529.00,0.00,1152.17,268.90,261.55,261.18,2.63,79.47%,533,43.84%,43.84%,91.81%,58.51%,16.85%,2.89,12.25%,33.64,0.36,24.67%,76.98%,57.99%,0.00%,83.00
B087GM4WR7,Felfoldi,170,6,7.00,1.00,272.14,268.26,268.66,268.67,0,33.04%,167,30.00%,30.00%,83.33%,100.00%,3.53%,44.71,6.04%,13.60,2.27,13.04%,23.00%,20.00%,0.00%,65.90
B072J1DBM2,Dilmah,376,112,121.00,1.00,264.28,267.49,269.62,265.14,13.25,29.51%,359,39.04%,39.04%,24.04%,75.06%,29.79%,2.35,(50.40)%,-142.97,-1.25,7.04%,25.64%,23.83%,0.00%,0
B0CYT7YKYH,TETLEY,150,36,35.00,5.00,224.02,267.46,266.44,266.46,0,24.37%,150,8.00%,8.00%,100.00%,97.22%,24.00%,7.43,(9.39)%,-25.26,-0.70,13.85%,13.46%,11.59%,0.00%,86.00
B075VQMLVN,Erko,568,62,170.00,51.00,752.10,266.97,253.13,253.43,30.15,25.33%,510,9.33%,9.33%,98.24%,100.00%,10.92%,4.31,(36.52)%,-89.98,-1.45,(2.74)%,32.49%,33.38%,70.36%,80.00
B00L305X8K,American Garden,462,227,778.00,304.00,779.47,265.68,253.88,251.66,12.42,25.11%,403,2.81%,2.81%,100.69%,100.00%,49.13%,1.16,(46.71)%,-124.20,-0.54,13.64%,18.50%,15.98%,39.41%,90.00
B087GL6V29,Nom Noms,214,77,57.00,0.00,170.70,265.47,250.74,252.03,0,28.84%,213,14.02%,14.02%,76.27%,100.00%,35.98%,3.45,(10.44)%,-27.38,-0.36,13.13%,23.90%,20.76%,0.00%,80.00
B0847NMVKL,WONDERFUL,106,35,40.00,0.00,263.54,264.52,244.65,209.79,0,17.38%,57,77.03%,77.03%,19.64%,100.00%,33.02%,6.61,(27.01)%,-63.34,-1.58,0.37%,23.00%,22.91%,100.00%,80.00
B0DH4RTBZX,Staycool,358,48,56.00,8.00,259.18,264.20,267.00,268.36,0,78.33%,355,8.43%,8.43%,96.55%,100.00%,13.41%,5.50,45.38%,120.99,2.52,15.91%,76.00%,63.91%,0.00%,47.50
B07NF84G8R,Al Rifai,260,17,154.00,45.00,2085.45,262.19,231.73,244.72,34.34,15.15%,243,24.23%,24.23%,100.00%,100.00%,6.54%,16.39,(7.67)%,-17.31,-1.08,17.36%,11.38%,9.41%,67.27%,77.50
B0DTGL5G3D,Castello since 1907,529,35,48.00,13.00,352.84,261.93,261.22,261.25,0,21.82%,522,14.99%,14.99%,92.31%,94.55%,6.62%,7.48,8.77%,23.85,0.68,1.78%,21.43%,21.05%,39.34%,85.00
B0CB84KJKW,Candyland,227,29,100.00,52.00,338.03,261.63,253.63,158.60,34.71,64.22%,191,12.68%,12.68%,50.00%,96.51%,12.78%,6.08,39.15%,101.83,2.37,34.80%,49.72%,32.42%,0.00%,76.70
B087GMQ5Q9,Swasco,534,80,53.00,0.00,153.53,261.37,243.17,243.41,0,25.19%,498,19.35%,19.35%,84.21%,100.00%,14.98%,3.27,(26.37)%,-65.54,-0.82,11.34%,24.24%,21.49%,0.00%,0
B07PBLJ3VP,American Garden,2365,49,194.00,45.00,1086.45,261.25,248.22,264.57,47.36,14.22%,2158,18.31%,18.31%,99.49%,100.00%,2.07%,5.68,(36.79)%,-94.39,-2.05,2.18%,17.14%,16.76%,29.40%,93.00
B00325L5WM,Orion,827,76,456.00,87.00,1862.21,260.07,245.68,246.95,40.39,11.79%,621,31.20%,31.20%,93.57%,99.18%,9.19%,3.42,(51.14)%,-130.85,-1.72,(19.34)%,30.58%,36.49%,55.10%,76.70
B07ZLRCDFT,UNKNOWN,1349,16,17.00,9.00,223.55,256.84,258.40,258.43,0,32.06%,525,0.00%,0.00%,94.12%,100.00%,1.19%,16.05,8.92%,21.96,1.37,18.08%,17.06%,13.98%,0.00%,0
B07P76HBPW,American Garden,583,90,84.00,12.00,214.74,255.00,254.39,254.44,0,23.86%,534,9.09%,9.09%,58.33%,52.17%,15.44%,2.83,(51.10)%,-121.52,-1.35,9.77%,18.50%,16.69%,80.55%,98.50
B091VQKB28,American Garden,677,61,200.00,28.00,833.91,253.50,251.89,265.37,15.32,19.03%,653,25.26%,25.26%,93.06%,100.47%,9.01%,4.37,(20.90)%,-55.40,-0.96,4.26%,18.50%,17.71%,48.40%,0
B00L2YF49U,La Molisana,482,82,48.00,0.00,136.69,253.30,243.73,238.09,0,22.41%,339,94.07%,94.07%,4.00%,90.91%,17.01%,2.98,(24.73)%,-62.07,-0.73,4.44%,23.51%,22.47%,88.57%,0
B0881MF429,Eti,545,26,25.00,0.00,205.82,252.63,251.68,254.30,0,32.57%,458,37.06%,37.06%,42.22%,100.00%,4.77%,9.72,(0.18)%,-0.45,-0.02,15.27%,22.98%,19.47%,0.00%,62.50
B087GJ9625,Freakin' Healthy,99,9,5.00,0.00,138.85,252.04,249.10,249.10,0,22.85%,98,13.27%,13.27%,36.36%,25.58%,9.09%,28.00,8.27%,20.96,2.33,0.84%,22.75%,22.56%,0.00%,94.50
B087GL6V4M,Lechao,179,52,67.00,19.00,286.02,247.50,229.94,229.96,0,28.55%,175,22.91%,22.91%,92.19%,96.97%,29.05%,4.85,(7.96)%,-18.58,-0.36,12.03%,28.54%,25.10%,0.00%,77.50
B087GKZR5Z,Diamond,37,21,24.00,4.00,270.51,246.67,247.45,247.50,0,12.04%,36,8.11%,8.11%,87.50%,100.00%,56.76%,11.75,(20.89)%,-42.19,-2.01,4.04%,8.33%,7.99%,69.57%,82.50
B01AERH4WU,American Garden,541,149,605.00,139.00,953.69,244.46,236.77,234.89,8.60,17.69%,427,12.01%,12.01%,95.17%,96.16%,27.54%,1.63,(81.07)%,-209.92,-1.40,3.28%,18.51%,17.90%,59.30%,93.70
B00L28CNI6,American Garden,1185,63,232.00,53.00,893.12,243.86,238.86,243.56,7.84,17.85%,1060,10.97%,10.97%,98.71%,100.00%,5.32%,3.93,(38.04)%,-95.01,-1.53,2.12%,18.52%,18.12%,34.90%,96.00
B083VKH3K8,American Garden,256,123,111.00,11.00,239.65,243.74,241.04,241.52,0,9.78%,250,8.20%,8.20%,100.00%,100.00%,48.05%,1.98,(39.39)%,-98.92,-0.80,(8.95)%,18.52%,20.18%,44.83%,82.00
B0BF72D275,DIAMOND دايموند,196,16,4.00,2.00,53.91,242.17,241.31,225.09,40.61,8.22%,194,3.59%,3.59%,83.33%,85.71%,8.16%,13.45,(11.92)%,-29.27,-1.63,(0.17)%,8.73%,8.74%,0.00%,72.50
B087GN5BKJ,Majami,528,90,75.00,29.00,182.95,241.60,237.93,238.17,0,25.07%,422,47.27%,47.27%,49.00%,100.00%,17.05%,2.68,(45.59)%,-98.76,-1.10,9.13%,23.88%,21.70%,0.00%,62.50
B087GJKXV6,Orion,300,64,65.00,2.00,237.84,241.33,230.54,231.60,0,22.32%,292,18.33%,18.33%,84.51%,100.00%,21.33%,3.77,(27.29)%,-66.18,-1.03,2.96%,25.12%,24.37%,98.36%,81.50
B07CTGSPRT,GM Betty Crocker,68,30,30.00,0.00,245.52,239.88,234.80,234.88,0,19.77%,53,24.56%,24.56%,80.00%,62.50%,44.12%,8.00,(5.59)%,-13.41,-0.45,(2.35)%,25.25%,25.84%,0.00%,0
B07XG55KTZ,Suncola,820,133,540.00,89.00,945.32,239.63,245.00,246.78,0,12.57%,618,6.51%,6.51%,91.67%,100.00%,16.22%,1.82,(139.99)%,-241.96,-1.83,3.57%,12.71%,12.26%,36.23%,82.00
B00I2F442K,Asturi,91,79,59.00,0.00,161.91,238.52,231.50,231.75,0,27.55%,81,16.25%,16.25%,94.92%,100.00%,86.81%,3.02,(24.49)%,-58.90,-0.75,9.11%,24.27%,22.06%,0.00%,0
B087GL3GHQ,Bazooka,191,16,4.00,0.00,76.22,238.19,238.19,238.25,0,(23.74)%,182,18.95%,18.95%,12.50%,94.12%,8.38%,14.89,(65.04)%,-138.45,-8.65,(71.90)%,28.02%,48.16%,92.17%,80.70
B01E5RZPPI,Foster Clarks,1514,147,135.00,0.00,242.94,237.69,237.31,259.23,0,7.50%,1131,46.29%,46.29%,50.90%,100.00%,9.71%,1.76,(107.45)%,-281.32,-2.08,(2.21)%,10.26%,10.49%,72.94%,98.20
B00OD85QW2,UNKNOWN,693,208,206.00,5.00,192.37,236.04,227.77,228.10,0,21.11%,632,32.80%,32.80%,86.86%,98.56%,30.01%,1.13,(141.00)%,-311.65,-1.50,17.71%,9.57%,7.88%,61.82%,69.10
B087GMJZTC,Palazi,464,17,17.00,1.00,186.61,234.34,230.69,230.75,10.16,39.55%,392,14.22%,14.22%,64.00%,100.00%,3.66%,13.78,16.66%,38.87,2.29,20.37%,26.05%,20.74%,28.07%,62.50
B07PGTW6PZ,American Garden,727,50,36.00,0.00,159.66,232.04,228.42,233.35,45.94,21.95%,644,21.46%,21.46%,80.00%,100.00%,6.88%,4.74,(56.96)%,-135.49,-2.77,6.35%,19.32%,18.09%,73.60%,98.50
B07NF7X5MY,Lotte,1369,506,300.00,0.00,124.15,231.44,224.49,224.91,0,12.74%,615,47.85%,47.85%,8.87%,94.10%,36.96%,0.46,(83.53)%,-202.09,-0.40,9.52%,7.97%,7.21%,100.00%,0
B00SXY3PWU,PINA,141,6,8.00,4.00,273.25,230.77,230.77,230.77,0,31.62%,140,4.26%,4.26%,200.00%,100.00%,4.26%,38.46,20.83%,48.25,8.04,11.19%,23.00%,20.43%,0.00%,75.00
B075733JRQ,Ching's Secret,2238,233,2227.00,428.00,1958.37,230.12,219.67,226.86,0,21.57%,509,27.55%,27.55%,87.69%,98.37%,10.41%,1.02,(86.23)%,-202.28,-0.90,13.64%,14.63%,12.64%,30.15%,60.50
B004TRNK20,Lotte,1228,215,497.00,1.00,464.11,229.67,223.23,221.46,0,13.09%,944,31.12%,31.12%,48.36%,95.41%,17.51%,1.06,(46.96)%,-106.03,-0.49,11.77%,8.40%,7.41%,62.84%,76.70
B083VKH3Q5,TATA,523,8,10.00,2.00,274.43,228.40,217.46,217.46,0,16.94%,448,54.58%,54.58%,66.67%,93.75%,1.53%,28.55,1.12%,2.56,0.32,3.88%,14.74%,14.17%,100.00%,77.50
B07NF5BLTB,Al Rifai,503,67,227.00,31.00,647.06,226.43,219.81,226.53,0,21.52%,454,27.83%,27.83%,93.56%,88.93%,13.32%,3.48,(40.00)%,-89.96,-1.38,18.17%,8.21%,6.72%,45.43%,61.70
B0CB89F24R,Candyland,304,54,54.00,0.00,205.82,226.41,213.79,213.81,0,25.75%,242,65.25%,65.25%,28.13%,91.43%,17.76%,4.19,9.94%,21.80,0.40,9.09%,23.61%,21.46%,0.00%,0
B087C6RSY9,Little Freddie,122,81,175.00,20.00,444.52,225.55,210.61,210.64,0,27.94%,112,59.83%,59.83%,59.57%,97.88%,66.39%,2.78,(1.56)%,-3.40,-0.04,8.78%,28.26%,25.78%,100.00%,80.00
B087GK2SSF,Freakin Healthy,400,89,190.00,0.00,439.69,224.80,228.74,228.88,38.94,29.02%,375,5.75%,5.75%,100.00%,46.39%,22.25%,2.53,(58.73)%,-136.84,-1.54,8.38%,26.84%,24.59%,66.14%,98.50
B087GMDHZY,Erko,487,189,264.00,58.00,301.87,222.23,215.49,219.09,21.98,27.55%,483,11.50%,11.50%,84.35%,100.00%,38.81%,1.19,(80.45)%,-188.06,-1.01,4.30%,30.40%,29.10%,0.00%,75.90
B08ZQF4KQJ,Afia,565,16,309.00,34.00,3144.64,221.48,210.62,211.86,0,29.67%,500,39.78%,39.78%,84.36%,93.31%,2.83%,13.84,2.16%,4.74,0.30,26.48%,8.79%,6.46%,49.23%,70.00
B087GMG88N,Americandy,302,38,127.00,48.00,697.05,219.71,216.40,216.41,14.80,30.25%,289,22.08%,22.08%,81.88%,100.00%,12.58%,5.78,(17.27)%,-37.04,-0.97,5.07%,30.09%,28.57%,0.00%,76.90
B00L28CIQ8,American Garden,573,33,141.00,25.00,830.78,219.30,212.94,219.43,0,21.11%,519,13.09%,13.09%,86.34%,72.85%,5.76%,6.85,(10.13)%,-22.35,-0.70,6.36%,18.50%,17.32%,49.03%,95.50
B087GKLJMZ,Quanwang,286,10,7.00,1.00,153.68,218.88,216.47,216.50,49.83,29.49%,266,15.38%,15.38%,100.00%,100.00%,3.50%,21.89,10.40%,22.68,2.27,(0.30)%,30.80%,30.89%,0.00%,83.20
B018S1P174,WONDERFUL,259,61,48.00,0.00,180.34,218.63,210.63,229.58,0,22.08%,211,23.98%,23.98%,32.00%,100.00%,23.55%,3.90,(60.17)%,-125.03,-2.23,3.77%,23.00%,22.13%,100.00%,92.50
B083VKCGWQ,American Garden,302,52,45.00,0.00,162.82,218.08,216.50,216.54,0,27.48%,256,35.43%,35.43%,68.67%,100.00%,17.22%,4.19,(38.87)%,-88.58,-1.70,13.73%,18.50%,15.96%,100.00%,92.50
B01N531XR0,Rip van Wafels,736,7,105.00,18.00,2641.11,217.81,217.81,217.81,0,25.08%,388,75.20%,75.20%,48.84%,100.00%,0.95%,31.12,12.14%,26.76,3.82,19.16%,7.32%,5.92%,0.00%,98.30
B0881M8KCG,Palazi,563,53,27.00,0.00,100.56,217.16,209.91,210.06,0,26.84%,500,54.73%,54.73%,41.82%,100.00%,9.41%,4.10,(30.53)%,-65.99,-1.25,9.10%,23.86%,21.68%,0.00%,0
B0B8DLJMK1,American Garden,827,37,158.00,34.00,884.84,216.80,212.32,212.36,16.70,19.09%,723,18.27%,18.27%,105.67%,100.00%,4.47%,5.86,(21.62)%,-43.64,-1.18,4.43%,17.51%,16.73%,66.73%,100.00
B079HN9RT2,Gerber,184,56,98.00,0.00,327.91,216.22,204.30,204.22,0,29.76%,161,42.86%,42.86%,96.00%,37.31%,30.43%,3.86,(21.19)%,-44.50,-0.79,13.34%,25.25%,21.88%,100.00%,0
B079H7W8TZ,Ching's Secret,310,195,204.00,12.00,179.39,215.59,204.29,207.99,0,26.74%,292,52.10%,52.10%,47.06%,100.00%,62.90%,1.12,(79.74)%,-177.60,-0.92,21.28%,13.72%,10.80%,85.98%,79.50
B003LAC1LW,Lutti,61,6,7.00,1.00,268.94,215.46,215.46,215.46,59.74,30.99%,55,32.79%,32.79%,75.00%,100.00%,9.84%,35.91,18.89%,41.06,6.84,(6.99)%,35.50%,37.98%,0.00%,85.80
B01CEI7ZF8,American Garden,955,67,283.00,35.00,842.13,214.02,200.72,204.01,0,19.62%,853,16.34%,16.34%,92.36%,100.00%,7.02%,3.24,(50.20)%,-107.68,-1.63,8.24%,18.24%,16.74%,29.90%,91.70
B0C6635B2K,TATA,427,155,218.00,0.00,278.95,211.51,202.62,210.97,0,16.23%,349,46.48%,46.48%,29.56%,100.00%,36.30%,1.40,(116.26)%,-229.33,-1.52,8.65%,12.91%,11.80%,53.62%,86.90
B01N0AHJ3U,UNKNOWN,270,34,30.00,0.00,160.41,209.80,209.08,211.43,0,18.92%,216,73.28%,73.28%,7.14%,100.00%,12.59%,6.17,(18.26)%,-33.57,-0.99,13.35%,9.33%,8.09%,0.00%,62.50
B001YZEKNI,JULIE'S,346,106,200.00,23.00,381.15,209.46,194.23,193.28,33.37,25.11%,332,11.85%,11.85%,91.89%,94.87%,30.64%,1.98,(107.71)%,-183.74,-1.73,3.56%,30.93%,29.83%,45.49%,85.80
B07DC7ZTM2,Bazooka,284,10,1.00,0.00,27.77,208.05,206.03,206.04,41.65,4.23%,247,8.80%,8.80%,50.00%,100.00%,3.52%,20.81,(19.14)%,-39.95,-4.00,(33.48)%,29.05%,38.77%,100.00%,95.00
B0DG2699HM,Schogetten,267,103,144.00,42.00,313.64,206.02,196.82,199.42,51.47,92.51%,252,16.23%,16.23%,55.56%,93.46%,38.58%,2.00,37.33%,77.30,0.75,(8.89)%,96.82%,105.43%,0.00%,74.50
