ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B07MV32JLH,Afia,3821,618,663.00,92.00,21579.22,21779.38,21472.84,21541.17,2831.91,15.39%,3479,6.19%,6.19%,94.17%,96.94%,16.17%,35.41,(0.83)%,-178.61,-0.29,7.81%,9.42%,8.68%,98.26%,82.50
B07P6YJPPG,Afia,2496,703,1025.00,163.00,30551.42,21352.50,20698.50,20470.77,151.88,7.40%,2273,15.06%,15.06%,86.81%,97.40%,28.17%,29.99,(9.96)%,-2093.35,-2.94,0.60%,9.07%,9.01%,98.07%,92.50
B079974J1R,WONDERFUL,2275,679,756.00,88.00,20458.83,17421.28,17074.06,17086.22,2524.65,20.85%,2215,4.88%,4.88%,79.01%,100.00%,29.85%,25.66,4.33%,738.37,1.09,(5.47)%,26.54%,28.00%,99.89%,80.00
B0881MBW3P,Erko,13281,12263,11453.00,874.00,15122.85,16466.40,15779.78,15819.57,5138.10,30.23%,13038,1.35%,1.35%,74.65%,100.00%,92.33%,1.34,(77.05)%,-12501.95,-1.02,1.68%,34.38%,33.81%,0.00%,90.00
B0CGK3WVSK,Barebells,4657,600,1047.00,190.00,35448.68,16372.60,15507.43,15407.42,8281.76,18.57%,3090,31.62%,31.62%,80.80%,100.00%,12.88%,27.06,3.94%,613.06,1.01,(25.11)%,38.94%,48.72%,98.47%,0
B084MM33XK,Suntop,3662,2879,2564.00,20.00,13465.51,14014.87,13759.27,13754.09,0,8.08%,3306,13.41%,13.41%,100.57%,100.00%,78.62%,4.86,(40.68)%,-5401.30,-1.87,(8.00)%,17.23%,18.61%,53.63%,0
B07B3X1HZZ,TILDA,6446,1138,2177.00,562.00,43641.17,13154.30,12785.52,12607.28,2952.34,(16.25)%,4701,30.69%,30.69%,88.52%,42.76%,17.65%,11.34,(44.29)%,-5696.19,-4.91,(76.83)%,35.50%,62.77%,82.06%,91.90
B07BYNX1P6,La Molisana,4936,6003,7949.00,1970.00,15690.01,12181.10,11483.77,11536.13,4101.08,30.10%,4919,0.00%,0.00%,97.53%,66.03%,121.62%,2.03,(24.22)%,-2868.37,-0.48,2.87%,34.09%,33.11%,51.88%,97.00
B07MQDNJHS,Pocari Sweat,7464,7996,25391.00,3746.00,38557.41,12179.10,12123.96,12196.08,0,10.93%,7071,4.52%,4.52%,88.42%,102.33%,107.13%,1.53,(48.82)%,-5955.26,-0.75,2.23%,9.93%,9.71%,31.71%,82.00
B015J4YNNG,TETLEY,2894,1730,1988.00,250.00,11663.70,11922.68,11820.74,11868.58,0,25.23%,2787,7.38%,7.38%,99.01%,98.80%,59.78%,6.92,(4.35)%,-518.77,-0.30,15.16%,13.64%,11.57%,98.87%,98.50
B00BLK5E7W,Gerber,7641,1661,1882.00,14.00,13895.75,11622.27,11399.69,11394.75,1873.21,15.19%,7200,20.46%,20.46%,79.73%,21.04%,21.74%,6.99,(19.34)%,-2239.96,-1.35,(5.65)%,22.09%,23.34%,99.80%,95.80
B0C62GCJ68,TATA,6675,2105,4373.00,988.00,24749.68,11398.56,11163.32,11155.69,1114.98,17.89%,6194,8.82%,8.82%,80.91%,99.57%,31.54%,5.41,(18.48)%,-2129.18,-1.01,(4.61)%,23.22%,24.29%,67.23%,100.00
B07CZCM4VZ,General Mills,2719,1388,1702.00,1.00,13331.29,10633.24,10222.22,10188.85,1190.07,21.50%,2478,6.17%,6.17%,98.55%,27.93%,51.05%,7.64,(5.27)%,-541.60,-0.39,(2.54)%,27.41%,28.11%,73.71%,94.50
B00D2PLAMW,Gerber,4235,1984,2134.00,41.00,12926.98,10175.18,10149.71,10142.60,745.64,13.56%,4168,0.07%,0.07%,98.84%,82.21%,46.85%,5.12,(22.03)%,-2283.17,-1.15,(18.28)%,27.58%,32.62%,58.68%,81.70
B087GJVRRM,Nom Noms,7721,3366,2468.00,61.00,6020.41,9566.07,9294.22,9517.72,1814.21,41.01%,7586,6.85%,6.85%,55.62%,100.00%,43.60%,2.91,(24.90)%,-2384.79,-0.72,16.10%,34.15%,28.65%,55.94%,87.50
B0054K0R5Y,Gerber,5423,1239,1332.00,75.00,9834.82,9455.23,9434.23,9486.41,601.82,26.78%,5274,8.70%,8.70%,84.56%,38.34%,22.85%,7.67,(2.14)%,-204.10,-0.17,3.72%,25.34%,24.40%,74.01%,89.50
B07P75SDV2,Al osra,5188,2386,4485.00,1059.00,27168.47,9253.10,9031.37,9069.55,0,(36.67)%,4230,23.76%,23.76%,97.99%,96.33%,45.99%,3.89,(115.36)%,-10272.88,-4.32,(55.68)%,13.70%,21.32%,58.94%,82.90
B00L2ZKHOG,American Garden,7273,1595,1735.00,27.00,8908.69,9152.72,9028.45,9063.89,263.16,24.66%,6686,4.27%,4.27%,86.85%,73.28%,21.93%,5.74,(8.12)%,-747.69,-0.47,10.58%,18.45%,16.49%,43.42%,83.00
B00GKX89Q8,Whittaker,6407,1479,3455.00,972.00,20364.73,9148.24,8648.98,8774.13,2722.55,35.59%,6006,9.15%,9.15%,72.19%,96.37%,23.08%,6.22,2.41%,209.98,0.14,5.29%,37.80%,35.81%,74.76%,81.00
