ASIN,Brand Name,List Price($)(11/23/2025-11/30/2025),List Price($)(11/16/2025-11/23/2025),List Price($)(11/09/2025-11/16/2025),List Price($)(11/02/2025-11/09/2025),Product GMS($)(11/23/2025-11/30/2025),Product GMS($)(11/16/2025-11/23/2025),Product GMS($)(11/09/2025-11/16/2025),Product GMS($)(11/02/2025-11/09/2025),ASP(11/23/2025-11/30/2025),ASP(11/16/2025-11/23/2025),ASP(11/09/2025-11/16/2025),ASP(11/02/2025-11/09/2025),CM(11/23/2025-11/30/2025)(%),CM(11/16/2025-11/23/2025)(%),CM(11/09/2025-11/16/2025)(%),CM(11/02/2025-11/09/2025)(%),CP($)(11/23/2025-11/30/2025),CP($)(11/16/2025-11/23/2025),CP($)(11/09/2025-11/16/2025),CP($)(11/02/2025-11/09/2025),Net PPM(11/23/2025-11/30/2025)(%),Net PPM(11/16/2025-11/23/2025)(%),Net PPM(11/09/2025-11/16/2025)(%),Net PPM(11/02/2025-11/09/2025)(%),GV(11/23/2025-11/30/2025),GV(11/16/2025-11/23/2025),GV(11/09/2025-11/16/2025),GV(11/02/2025-11/09/2025),SoROOS(%)(11/23/2025-11/30/2025)(%),SoROOS(%)(11/16/2025-11/23/2025)(%),SoROOS(%)(11/09/2025-11/16/2025)(%),SoROOS(%)(11/02/2025-11/09/2025)(%),Vendor Confirmation Rate - Sourceable(11/23/2025-11/30/2025)(%),Vendor Confirmation Rate - Sourceable(11/16/2025-11/23/2025)(%),Vendor Confirmation Rate - Sourceable(11/09/2025-11/16/2025)(%),Vendor Confirmation Rate - Sourceable(11/02/2025-11/09/2025)(%),Fill Rate - Sourceable(11/23/2025-11/30/2025)(%),Fill Rate - Sourceable(11/16/2025-11/23/2025)(%),Fill Rate - Sourceable(11/09/2025-11/16/2025)(%),Fill Rate - Sourceable(11/02/2025-11/09/2025)(%),SELLABLE_ON_HAND_UNITS(11/23/2025-11/30/2025),SELLABLE_ON_HAND_UNITS(11/16/2025-11/23/2025),SELLABLE_ON_HAND_UNITS(11/09/2025-11/16/2025),SELLABLE_ON_HAND_UNITS(11/02/2025-11/09/2025),Total GMM($)(11/23/2025-11/30/2025),Total GMM($)(11/16/2025-11/23/2025),Total GMM($)(11/09/2025-11/16/2025),Total GMM($)(11/02/2025-11/09/2025),Net Receipts($)(11/23/2025-11/30/2025),Net Receipts($)(11/16/2025-11/23/2025),Net Receipts($)(11/09/2025-11/16/2025),Net Receipts($)(11/02/2025-11/09/2025),Net Receipts (Units)(11/23/2025-11/30/2025),Net Receipts (Units)(11/16/2025-11/23/2025),Net Receipts (Units)(11/09/2025-11/16/2025),Net Receipts (Units)(11/02/2025-11/09/2025),CCOGS As A % Of PCOGS(11/23/2025-11/30/2025)(%),CCOGS As A % Of PCOGS(11/16/2025-11/23/2025)(%),CCOGS As A % Of PCOGS(11/09/2025-11/16/2025)(%),CCOGS As A % Of PCOGS(11/02/2025-11/09/2025)(%),PPM(11/23/2025-11/30/2025)(%),PPM(11/16/2025-11/23/2025)(%),PPM(11/09/2025-11/16/2025)(%),PPM(11/02/2025-11/09/2025)(%),External Box Price Competitiveness (% Of GV)(11/23/2025-11/30/2025)(%),External Box Price Competitiveness (% Of GV)(11/16/2025-11/23/2025)(%),External Box Price Competitiveness (% Of GV)(11/09/2025-11/16/2025)(%),External Box Price Competitiveness (% Of GV)(11/02/2025-11/09/2025)(%),Amzn GV(11/23/2025-11/30/2025),Amzn GV(11/16/2025-11/23/2025),Amzn GV(11/09/2025-11/16/2025),Amzn GV(11/02/2025-11/09/2025),Customer Returns($)(11/23/2025-11/30/2025),Customer Returns($)(11/16/2025-11/23/2025),Customer Returns($)(11/09/2025-11/16/2025),Customer Returns($)(11/02/2025-11/09/2025),Daily SoRoos%(11/23/2025-11/30/2025)(%),Daily SoRoos%(11/16/2025-11/23/2025)(%),Daily SoRoos%(11/09/2025-11/16/2025)(%),Daily SoRoos%(11/02/2025-11/09/2025)(%),Net Ordered Units(11/23/2025-11/30/2025),Net Ordered Units(11/16/2025-11/23/2025),Net Ordered Units(11/09/2025-11/16/2025),Net Ordered Units(11/02/2025-11/09/2025)
B0DXBRHMXT,Vitamin Well,0.00,0.00,0.00,0.00,14.39,0,0,0,14.39,0.00,0.00,0.00,(5.01)%,0.00%,0.00%,0.00%,-0.72,0,0,0,22.13%,0.00%,0.00%,0.00%,9,13,9,8,0.00%,38.46%,77.78%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,89.92%,388,530,37,68,0.00,0.00,0.00,0,57.83,1590.23,28.91,28.91,4.00,110.00,2.00,2.00,22.50%,0.00%,0.00%,0.00%,(0.47)%,0.00%,0.00%,0.00%,100.00%,85.71%,77.78%,25.00%,0,6,7,0,0,0,0,0,0.00%,38.46%,77.78%,0.00%,-1,-3,1,0
B0DQR5L658,Castello since 1907,5.89,5.89,5.89,5.89,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,2.17%,2.17%,20.79%,4.80%,0.13,0.13,1.22,0.28,37.58%,37.58%,37.58%,37.58%,2,6,12,9,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,7,9,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50%,22.50%,22.50%,22.50%,19.45%,19.45%,19.45%,19.45%,0.00%,33.33%,33.33%,22.22%,0,6,12,9,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0,1,1,1
B0D3QVP733,UNKNOWN,3.35,0.00,3.35,0.00,3.84,0,12.57,0,3.84,0.00,3.14,0.00,(39.57)%,0.00%,(193.81)%,0.00%,-1.92,0,-13.44,0,26.47%,0.00%,3.16%,0.00%,62,59,96,35,1.61%,3.39%,7.29%,17.14%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,65,139,535,927,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,26.47%,0.00%,10.26%,0.00%,65.57%,71.93%,71.91%,90.48%,61,57,92,34,0,0,0,0,1.61%,3.39%,7.29%,17.14%,1,0,1,0
B07Q4Q591H,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,1,2,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,1,0,0,0,0,0.00%,0.00%,0.00%,50.00%,0,0,0,0
B09FX639YN,QualityFood,0.00,0.00,0.00,0.00,0,0,0,28.78,0.00,0.00,0.00,2.40,0.00%,0.00%,0.00%,(58.29)%,0,0,0,-17.27,0.00%,0.00%,0.00%,(18.76)%,1,2,2,4,100.00%,50.00%,100.00%,50.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,8,8,22,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,22.50%,0.00%,0.00%,0.00%,(53.23)%,0.00%,100.00%,0.00%,100.00%,0,0,0,0,0,0,0,0,100.00%,50.00%,100.00%,50.00%,0,-8,0,0
B0F13HJBN1,Lacnor,0.00,0.00,0.00,0.42,0,0,0,0.86,0.00,0.00,0.00,0.43,0.00%,0.00%,0.00%,(580.66)%,0,0,0,-7.04,0.00%,0.00%,0.00%,24.68%,0,2,4,2,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,23,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.68%,0.00%,100.00%,100.00%,100.00%,0,2,4,2,0,0,0,0,0.00%,100.00%,100.00%,100.00%,0,0,2,-1
B0DTGMM5L1,Castello since 1907,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0
B07KDKSTS7,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,26,7,15,13,76.92%,42.86%,80.00%,76.92%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,24,24,30,231,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,33.33%,33.33%,0,0,0,0,0,0,0,0,76.92%,42.86%,80.00%,76.92%,0,-1,-1,0
B09FX1D4PF,QualityFood,0.00,0.00,0.00,2.38,0,0,0,44.08,0.00,0.00,0.00,2.20,0.00%,0.00%,0.00%,(41.92)%,0,0,0,-20.04,0.00%,0.00%,0.00%,27.61%,5,15,13,13,80.00%,20.00%,84.62%,91.67%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,10,11,8,2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,22.50%,0.00%,0.00%,0.00%,9.82%,80.00%,64.29%,100.00%,100.00%,5,14,13,11,0,0,0,0,80.00%,20.00%,84.62%,91.67%,-1,1,-2,0
B0D1HBJF5R,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,30,19,23,31,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29,15,21,28,0,0,0,0,100.00%,100.00%,100.00%,100.00%,0,0,0,0
B0DMTC4NQB,Castello since 1907,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,1,2,0,2,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,100.00%,100.00%,0.00%,100.00%,0,0,0,0
B07Q4QJ7KV,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0,7,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,100.00%,0,0,0,0
B07DLNH6L2,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,43,51,81,107,46.51%,66.67%,85.19%,95.28%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,28.39%,927,1077,202,0,0,0.00,0.00,0.00,0.00,5315.61,1557.44,0.00,0.00,157.00,46.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,84.00%,69.23%,18.75%,0,15,13,28,0,0,0,0,46.51%,66.67%,85.19%,95.28%,-9,-15,41,1
B07Q6Z4LPB,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,5,3,10,5,40.00%,33.33%,10.00%,20.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,5,3,9,5,0,0,0,0,40.00%,33.33%,10.00%,20.00%,-3,0,0,0
B0FS7DHXXJ,Vitamin Well,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,6,6,12,3,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,6,6,11,3,0,0,0,0,100.00%,100.00%,100.00%,100.00%,-1,-3,5,2
B07TDTX4R2,Barebells,0.00,40.19,40.19,40.19,0,363.30,9191.04,10861.34,0.00,27.95,26.87,28.73,0.00%,5.86%,13.52%,18.50%,0,19.36,1212.98,1988.46,0.00%,16.46%,24.93%,27.92%,243,320,1379,2039,65.02%,69.38%,7.47%,0.00%,100.00%,100.00%,100.00%,100.00%,261.29%,100.00%,0.00%,20.37%,63,218,1195,4797,0,0.00,0.00,0.00,0.00,67.71,1489.61,0.00,0.00,2.00,44.00,0.00,0.00%,39.29%,42.26%,40.40%,0.00%,(21.14)%,(25.97)%,(17.82)%,100.00%,51.22%,99.51%,99.60%,0,0,1263,2025,0,0,0,0,65.02%,69.38%,7.47%,0.00%,-11,-4,333,397
B088NNZW7B,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,89,64,104,114,65.17%,68.75%,68.27%,46.02%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,14,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,89,64,104,114,0,0,0,0,65.17%,68.75%,68.27%,46.02%,-1,-1,2,0
B0DN9HZPYH,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,5,7,3,4,80.00%,42.86%,100.00%,75.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,33.33%,0.00%,100.00%,5,7,3,4,0,0,0,0,80.00%,42.86%,100.00%,75.00%,0,1,0,0
B0CH8RF9RZ,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,1,3,35,50,100.00%,0.00%,88.57%,91.84%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,3,35,49,0,0,0,0,100.00%,0.00%,88.57%,91.84%,0,0,0,0
B07CD4K7HM,Rip van Wafels,0.00,0.00,0.00,0.00,0,62.23,31.12,0,0.00,31.12,31.12,0.00,0.00%,22.85%,19.53%,0.00%,0,14.35,6.09,0,0.00%,34.29%,34.29%,0.00%,11,11,13,8,100.00%,54.55%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,5,20,24,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,22.50%,22.50%,0.00%,0.00%,15.22%,15.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0,5,13,8,0,0,0,0,100.00%,54.55%,0.00%,0.00%,0,2,1,0
B0BYZS6GLT,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,4,1,3,6,25.00%,0.00%,0.00%,16.67%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,16,14,47,212,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,100.00%,100.00%,100.00%,0,0,0,0,0,0,0,0,25.00%,0.00%,0.00%,16.67%,0,0,0,0
B0DWXBKCLF,QMINC,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,54,53,73,96,59.26%,58.49%,72.60%,85.26%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44,48,68,93,0,0,0,0,59.26%,58.49%,72.60%,85.26%,0,0,0,0
B0CGK3WVSK,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,88,74,80,92,56.82%,59.46%,71.25%,71.74%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,2095,2197,1687,1791,0,0.00,0.00,0.00,0.00,3521.17,101.57,0.00,0.00,104.00,3.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,53.85%,50.00%,100.00%,0,0,0,0,0,0,0,0,56.82%,59.46%,71.25%,71.74%,0,0,0,0
B0BD8QGVR6,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,29,29,33,37,68.97%,31.03%,57.58%,16.67%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,22,204,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29,28,32,37,0,0,0,0,68.97%,31.03%,57.58%,16.67%,0,0,-1,0
B0DQLLVRXB,Barebells,0.00,3.35,3.35,0.00,0,4.89,21.96,0,0.00,4.89,4.39,0.00,0.00%,(39.94)%,(9.77)%,0.00%,0,-2.13,-2.22,0,0.00%,42.28%,35.77%,0.00%,4,4,14,9,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,48,50,66,60,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,42.28%,35.77%,0.00%,0.00%,0.00%,0.00%,0.00%,4,4,12,9,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,1,2,0
B0CH8T3XXZ,Barebells,0.00,0.00,3.35,0.00,0,0,3.74,0,0.00,0.00,3.74,0.00,0.00%,0.00%,(59.49)%,0.00%,0,0,-2.42,0,0.00%,0.00%,24.54%,0.00%,5,3,1,1,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,88,88,89,96,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.54%,0.00%,0.00%,0.00%,0.00%,0.00%,5,3,1,1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,0
B07WRL9XZG,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,12,2,11,17,66.67%,50.00%,36.36%,68.75%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,484,543,664,585,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,66.67%,50.00%,36.36%,68.75%,0,0,0,0
B09FX76VQN,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,16,21,11,11,75.00%,90.48%,9.09%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,16,16,9,8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,92.31%,100.00%,50.00%,100.00%,16,20,2,0,0,0,0,0,75.00%,90.48%,9.09%,0.00%,-1,10,-1,0
B0DTDTZGMQ,Barebells,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,2,0,2,1,100.00%,0.00%,50.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,8,8,8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0,0,0,1,0,0,0,0,100.00%,0.00%,50.00%,0.00%,0,0,0,0
B07G4GNKHT,Barebells,0.00,0.00,0.00,3.35,0,0,0,3.78,0.00,0.00,0.00,3.78,0.00%,0.00%,0.00%,(53.89)%,0,0,0,-2.21,0.00%,0.00%,0.00%,25.36%,35,42,54,58,0.00%,2.38%,1.85%,3.45%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,560,574,602,381,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.36%,58.33%,68.29%,85.29%,87.50%,35,41,46,56,0,0,0,0,0.00%,2.38%,1.85%,3.45%,0,0,0,0
B0CBKW4ZYB,Barebells,0.00,0.00,0.00,0.00,0,117.18,99.57,0,0.00,39.06,24.89,0.00,0.00%,23.65%,(15.92)%,0.00%,0,27.92,-15.97,0,0.00%,34.56%,(2.69)%,0.00%,2,2,3,0,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,5,32,56,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,24.50%,24.50%,0.00%,0.00%,13.32%,(36.02)%,0.00%,0.00%,0.00%,100.00%,0.00%,2,2,3,0,0,0,0,0,100.00%,100.00%,0.00%,0.00%,0,3,4,0
B0DTGL5G3D,Castello since 1907,0.00,0.00,0.00,9.35,0,0,0,8.50,0.00,0.00,0.00,8.50,0.00%,0.00%,0.00%,(14.85)%,0,0,0,-1.26,0.00%,0.00%,0.00%,27.36%,3,1,8,7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,104,104,104,107,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,22.50%,0.00%,0.00%,0.00%,13.54%,100.00%,100.00%,12.50%,42.86%,3,1,8,7,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0,0,1
B01N531XR0,Rip van Wafels,0.00,0.00,0.00,0.00,0,0,62.23,0,0.00,0.00,31.12,0.00,0.00%,0.00%,6.75%,0.00%,0,0,4.24,0,0.00%,0.00%,19.16%,0.00%,11,17,10,10,81.82%,82.35%,30.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,302,142,11,59,0,0,0.00,0,0.00,1383.44,0.00,0.00,0.00,55.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.16%,0.00%,0.00%,0.00%,0.00%,0.00%,11,17,9,10,0,0,0,0,81.82%,82.35%,30.00%,0.00%,0,0,2,0
B07Q3S7RLD,UNKNOWN,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,0.00%,7,4,9,5,28.57%,100.00%,0.00%,60.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,4,6,2,0,0,0,0,28.57%,100.00%,0.00%,60.00%,0,0,0,0
,,13.13,14.72,18.80,18.97,35565.67,32319.28,45092.48,55172.71,25.92,26.78,26.10,26.47,20.06%,20.63%,18.08%,18.83%,6949.65,6586.65,8043.61,10274.81,32.73%,33.08%,31.38%,31.11%,5714,5691,7425,9030,13.55%,12.09%,11.13%,7.97%,100.00%,100.00%,100.00%,100.00%,17.58%,38.15%,18.68%,38.18%,34500,45061,46268,61711,0.00,0.00,0.00,0.00,7023.44,41058.62,25587.93,28.91,291.00,1410.00,913.00,2.00,39.77%,37.59%,38.42%,37.14%,(8.19)%,(3.93)%,(8.75)%,(6.48)%,97.92%,96.96%,97.52%,98.46%,4859,4882,6696,8593,0,0,0,0,13.55%,12.09%,11.13%,7.97%,1333,1147,1807,2058
