ASIN,Brand Name,GV(Week 2 ),Net Ordered Units(Week 2 ),Net Receipts (Units)(Week 2 ),Total Inventory Units(Week 2 ),Net Receipts($)(Week 2 ),Product GMS($)(Week 2 ),Gross Shipped GMS($)(Week 2 ),Net Ordered GMS($)(Week 2 ),Deal GMS($)(Week 2 ),Net PPM(Week 2 )(%),Amzn GV(Week 2 ),SoROOS(%)(Week 2 )(%),Daily SoRoos%(Week 2 )(%),Fill Rate - Sourceable(Week 2 )(%),Vendor Confirmation Rate - Sourceable(Week 2 )(%),Conversion Rate(Week 2 )(%),ASP(Week 2 ),CM(Week 2 )(%),CP($)(Week 2 ),CPPU(Week 2 ),PPM(Week 2 )(%),CCOGS As A % Of PCOGS(Week 2 )(%),CCOGS As A % Of Revenue(Week 2 )(%),External Box Price Competitiveness (% Of GV)(Week 2 )(%),IDQ Score(Week 2 )
B07G9KXXSN,TILDA,77,11,48.00,75.00,1636.79,360.38,355.83,328.63,0,19.45%,72,0.00%,0.00%,0.00%,100.00%,14.29%,30.03,2.76%,9.94,0.83,(13.55)%,30.17%,34.25%,100.00%,78.70
B0C62GCJ68,TATA,135,60,28.00,814.00,158.48,360.19,352.36,353.30,0,18.31%,126,0.00%,0.00%,0.00%,100.00%,44.44%,6.00,(7.50)%,-27.17,-0.45,5.71%,15.66%,14.77%,48.70%,100.00
B07PBKWD24,Oronamin,225,275,0.00,134.00,0.00,309.96,299.33,299.36,0,(46.91)%,223,0.44%,0.44%,0.00%,0.00%,122.22%,1.13,(96.96)%,-302.94,-1.10,(59.42)%,10.00%,15.94%,24.66%,0.00
B07PKDH8PT,WONDERFUL,36,20,72.00,89.00,952.67,293.61,293.61,293.62,0,30.60%,36,0.00%,0.00%,0.00%,100.00%,55.56%,14.68,13.22%,39.34,1.97,9.87%,23.00%,20.73%,0.00%,79.20
B0014CYR98,UNKNOWN,84,64,132.00,134.00,435.92,290.55,282.17,286.15,0,32.18%,83,0.00%,0.00%,0.00%,100.00%,76.19%,4.61,(7.29)%,-21.09,-0.33,28.39%,10.93%,7.83%,51.81%,84.50
B07CXJZVRR,General Mills,34,31,0.00,45.00,0.00,287.80,274.09,232.11,0,26.41%,34,0.00%,0.00%,0.00%,100.00%,91.18%,7.78,7.75%,21.64,0.58,7.25%,25.79%,23.92%,79.41%,94.50
B07NF8B82T,Alitea,219,53,0.00,8.00,0.00,287.71,280.74,251.77,146.76,21.17%,215,37.44%,37.44%,0.00%,100.00%,24.20%,4.64,(9.42)%,-26.29,-0.42,(34.35)%,44.00%,59.11%,100.00%,87.50
B0054K0R5Y,Gerber,160,34,0.00,8.00,0.00,278.16,281.55,266.95,0,25.84%,135,5.00%,5.00%,0.00%,0.00%,21.25%,7.73,(7.30)%,-20.53,-0.57,4.44%,23.85%,22.79%,82.93%,89.50
B07CZCM4VZ,General Mills,70,41,123.00,91.00,963.42,277.72,270.57,298.38,0,0.49%,50,8.57%,8.57%,25.00%,80.00%,58.57%,7.51,(27.96)%,-76.76,-2.07,(4.35)%,8.00%,8.35%,100.00%,94.50
B0881MBW3P,Erko,186,164,0.00,664.00,0.00,268.16,259.46,249.84,0,30.02%,184,0.00%,0.00%,0.00%,0.00%,88.17%,1.57,(24.97)%,-68.83,-0.40,15.80%,24.81%,20.89%,0.00%,90.00
