ASIN,Brand Name,GV(Week 1 ),Net Ordered Units(Week 1 ),Net Receipts (Units)(Week 1 ),Total Inventory Units(Week 1 ),Net Receipts($)(Week 1 ),Product GMS($)(Week 1 ),Gross Shipped GMS($)(Week 1 ),Net Ordered GMS($)(Week 1 ),Deal GMS($)(Week 1 ),Net PPM(Week 1 )(%),Amzn GV(Week 1 ),SoROOS(%)(Week 1 )(%),Daily SoRoos%(Week 1 )(%),Fill Rate - Sourceable(Week 1 )(%),Vendor Confirmation Rate - Sourceable(Week 1 )(%),Conversion Rate(Week 1 )(%),ASP(Week 1 ),CM(Week 1 )(%),CP($)(Week 1 ),CPPU(Week 1 ),PPM(Week 1 )(%),CCOGS As A % Of PCOGS(Week 1 )(%),CCOGS As A % Of Revenue(Week 1 )(%),External Box Price Competitiveness (% Of GV)(Week 1 )(%),IDQ Score(Week 1 )
B09MWMV1DG,Barebells,40,13,52,155,1760.58,551.98,510.66,435.15,0,27.08%,40,0.00%,0.00%,72.22%,100.00%,32.50%,36.8,17.46%,90.03,6,7.99%,28.89%,26.58%,100.00%,94.5
B07P6YJPPG,Afia,76,16,2,154,59.61,513.53,490.34,490.37,0,12.12%,76,0.00%,0.00%,95.45%,100.00%,21.05%,32.1,-3.13%,-15.56,-0.97,7.13%,10.23%,9.50%,100.00%,92.5
B07B3X1HZZ,TILDA,148,43,10,507,200.38,504.24,501.76,501.82,0,-5.26%,144,0.68%,0.68%,0.00%,0.00%,29.05%,11.73,-30.18%,-152.05,-3.54,-70.88%,38.50%,65.79%,92.06%,91.9
B07NF8B82T,Alitea,194,123,0,69,0,458.74,444.8,492.72,461.81,11.69%,188,0.00%,0.00%,0.00%,100.00%,63.40%,4.13,-21.49%,-93.13,-0.84,-50.86%,44.00%,66.38%,100.00%,87.5
B08H321LHY,M.C. Trader,62,34,97,45,1052.12,431.74,423.65,389.9,0,31.84%,59,4.84%,4.84%,0.00%,0.00%,54.84%,11.67,11.46%,49.53,1.34,7.05%,28.76%,26.73%,54.24%,82.5
B07MQDNJHS,Pocari Sweat,276,302,0,3213,0,409.53,389.8,428.66,0,4.58%,264,3.62%,3.62%,0.00%,100.00%,109.42%,1.49,-66.51%,-241.33,-0.88,-0.55%,9.85%,9.91%,29.00%,82
B0BFBDDGGN,Barebells,31,7,0,47,0,400.59,356.46,236.86,0,29.81%,8,25.81%,25.81%,8.79%,100.00%,22.58%,36.42,23.50%,86.28,7.84,7.03%,34.26%,31.85%,8.70%,94.5
B084VPP1M5,Suntop,67,85,0,51,0,382.76,369.21,369.26,0,-8.50%,67,0.00%,0.00%,0.00%,0.00%,126.87%,4.5,-45.48%,-174.6,-2.05,-16.63%,10.00%,11.66%,52.24%,90.8
B079974J1R,WONDERFUL,32,15,0,84,0,375.09,375.09,399.23,0,22.23%,30,0.00%,0.00%,0.00%,100.00%,46.88%,26.79,11.64%,43.86,3.13,-1.01%,23.00%,23.23%,0.00%,80
B07FSPH47X,Barebells,26,10,24,63,812.58,332.21,296.05,331.66,0,22.09%,25,0.00%,0.00%,100.00%,100.00%,38.46%,36.91,14.07%,41.81,4.65,8.28%,26.92%,24.69%,94.74%,98.5
B07DLNH6L2,Barebells,51,8,48,163,1625.15,327.07,255.22,239.31,0,16.50%,51,0.00%,0.00%,30.77%,100.00%,15.69%,36.34,8.60%,23.14,2.57,6.84%,30.30%,28.23%,100.00%,98.5
B07P75SCX3,UNKNOWN,90,40,81,199,534.11,291.35,284.19,270.36,0,11.55%,84,0.00%,0.00%,20.00%,100.00%,44.44%,6.94,-18.17%,-52.39,-1.25,4.95%,10.00%,9.51%,36.25%,87.5
B0CH8Y34JD,Barebells,34,7,0,14,0,248.28,208,207.99,0,12.70%,32,0.00%,0.00%,100.00%,100.00%,20.59%,35.47,0.44%,0.93,0.13,4.54%,24.50%,23.39%,0.00%,78
B0C62GCJ68,TATA,138,41,0,952,0,246.13,245.4,244.56,0,19.40%,135,0.00%,0.00%,97.23%,100.00%,29.71%,6,10.96%,25.96,0.63,5.71%,15.91%,15.00%,52.55%,100
B07DLJB7PC,Barebells,47,11,48,79,1171.3,239.95,218.19,268.73,0,24.90%,47,0.00%,0.00%,100.00%,100.00%,23.40%,26.66,14.94%,33.33,3.7,8.47%,27.03%,24.74%,95.56%,95.7
B0054K0R5Y,Gerber,156,34,0,51,0,239.52,237.38,259.81,0,26.34%,156,0.00%,0.00%,0.00%,0.00%,21.79%,7.73,-2.80%,-6.8,-0.22,4.44%,24.44%,23.35%,71.15%,89.5
B00GKX89SQ,Whittaker,90,27,0,708,0,239.34,222.23,164.01,0,28.05%,87,0.00%,0.00%,0.00%,100.00%,30.00%,6.47,9.07%,20.62,0.56,8.88%,28.63%,26.09%,44.32%,98.5
B00BLK5AKI,Gerber,124,42,30,63,192.1,239.29,237.93,237.97,0,14.34%,120,0.00%,0.00%,0.00%,0.00%,33.87%,5.7,-17.36%,-42.2,-1,-12.39%,25.25%,28.38%,58.33%,90.5
B088F995XR,Freakin' Healthy,11,9,0,14,0,234.87,194.82,194.82,154.94,18.59%,11,0.00%,0.00%,0.00%,0.00%,81.82%,26.1,9.41%,21.84,2.43,-6.41%,25.47%,27.10%,0.00%,98.5
B07NF847QH,TILDA,67,35,0,1338,0,231.61,229.24,243,112.8,58.77%,61,0.00%,0.00%,100.00%,100.00%,52.24%,7.02,29.16%,66.71,2.02,-18.31%,66.58%,78.77%,55.36%,91.2
B079HN2V2D,Gerber,71,22,36,47,265.81,217.66,224.49,215.08,0,39.53%,69,0.00%,0.00%,0.00%,0.00%,30.99%,9.46,17.42%,40.11,1.74,21.98%,23.05%,17.99%,66.18%,94.5
B00D2PLAMW,Gerber,66,43,0,17,0,217.4,218.35,219.74,0,8.58%,58,0.00%,0.00%,0.00%,0.00%,65.15%,5.06,-17.16%,-38.52,-0.9,-19.82%,25.25%,30.25%,61.02%,83.2
B093YXPPWS,Nabati,71,48,1,162,3.81,210.4,205.59,205.61,0,29.96%,65,0.00%,0.00%,40.00%,100.00%,67.61%,4.38,2.60%,5.23,0.11,13.04%,23.00%,20.00%,0.00%,85
B00JSCMGJ4,Gerber,15,10,42,17,254.42,201.54,197.42,61.9,0,27.87%,15,26.67%,26.67%,0.00%,100.00%,66.67%,6.3,-3.33%,-6.82,-0.21,3.82%,27.13%,26.09%,0.00%,52.5
B005LLZ3QY,Tetley,33,30,0,413,0,188.7,190.32,196.84,0,19.67%,32,0.00%,0.00%,0.00%,100.00%,90.91%,6.51,-6.48%,-12.67,-0.44,9.83%,10.91%,9.84%,100.00%,100
B00L28D0QU,American Garden,141,61,204,548,547.07,187.81,181.73,176.22,0,22.08%,137,0.00%,0.00%,100.00%,100.00%,43.26%,2.98,-21.59%,-40.77,-0.65,10.05%,18.21%,16.38%,42.37%,91.5
B08BFBXQGZ,La Molisana,36,63,0,439,0,178.75,169.1,156.05,0,24.85%,36,0.00%,0.00%,29.41%,100.00%,175.00%,2.63,-14.59%,-25.58,-0.38,7.82%,24.57%,22.65%,48.28%,84.5
B015J4YNNG,TETLEY,49,29,13,243,76.27,175.68,175.01,188.14,0,23.62%,49,0.00%,0.00%,77.78%,100.00%,59.18%,6.51,8.47%,14.7,0.54,9.83%,15.92%,14.35%,100.00%,100
B07PKDH8PT,WONDERFUL,31,14,6,37,79.39,168.81,171.93,171.98,0,15.51%,29,0.00%,0.00%,0.00%,100.00%,45.16%,12.06,-6.27%,-11,-0.79,-9.73%,23.00%,25.24%,0.00%,79.2
B07G9L7NL2,TILDA,60,37,24,300,101.28,165.53,158.79,154.65,0,16.97%,57,0.00%,0.00%,95.08%,100.00%,61.67%,4.36,-15.07%,-24.62,-0.65,3.13%,18.50%,17.92%,28.85%,93.2
B0B82VTXNL,Mr Makhana,15,53,239,692,582.36,164.21,154.44,154.44,0,75.20%,15,0.00%,0.00%,100.00%,100.00%,353.33%,3.1,48.62%,77.5,1.46,21.35%,76.00%,59.77%,13.33%,78.2
B07PBKWD24,Oronamin,146,110,13,420,23.36,162.49,157.35,150.3,0,-14.78%,143,0.00%,0.00%,0.00%,100.00%,75.34%,1.41,-50.09%,-84.03,-0.73,-27.17%,10.00%,12.72%,13.99%,0
B0881MBW3P,Erko,173,104,0,835,0,161.52,156.14,158.42,0,31.19%,173,0.00%,0.00%,0.00%,100.00%,60.12%,1.57,-37.75%,-59.55,-0.58,15.80%,24.62%,20.73%,0.00%,90
B087GM93C9,Americandy,120,36,0,280,0,157.01,156.97,157,0,28.07%,115,0.00%,0.00%,16.05%,100.00%,30.00%,4.36,-9.00%,-14.27,-0.4,9.11%,23.61%,21.46%,0.00%,93.2
B08CSRN82W,Mr Makhana,31,62,0,137,0,156.81,149.56,149.56,0,72.09%,30,0.00%,0.00%,100.00%,100.00%,200.00%,2.53,29.37%,43.86,0.71,3.66%,76.00%,73.22%,0.00%,83.2
B07CZ83NQ4,General Mills,16,15,48,39,379.37,150.05,143.28,152.03,0,43.91%,10,25.00%,25.00%,0.00%,0.00%,93.75%,10.72,21.46%,31.63,2.26,26.26%,33.10%,24.41%,0.00%,89.5
B002GK0570,Gerber,10,25,96,37,553.83,142.87,142.87,132.86,0,18.50%,10,40.00%,40.00%,0.00%,0.00%,250.00%,5.29,-0.67%,-0.97,-0.04,-9.03%,25.25%,27.53%,80.00%,91.2
B00NRML2UK,Dilmah,48,14,12,56,122.25,137.43,137.61,120.49,109.7,14.85%,48,0.00%,0.00%,0.00%,100.00%,29.17%,8.59,-5.38%,-6.96,-0.43,-18.61%,29.00%,34.40%,41.67%,100
B01285C2BY,TILDA,84,36,0,4131,0,136.18,134.37,134.99,72.51,24.58%,68,0.00%,0.00%,0.00%,26.13%,42.86%,3.78,-27.22%,-37.28,-1.04,-11.56%,33.50%,37.37%,44.87%,91.2
B00CAUABOS,Gerber,41,18,72,20,415.37,130.26,126.02,87.26,0,10.67%,36,4.88%,4.88%,0.00%,0.00%,43.90%,5.01,-21.10%,-27.66,-1.06,-15.15%,25.25%,29.08%,47.22%,85.8
B07FD6XPLF,Wella Koleston,158,65,0,25,0,127.69,128.42,140.47,0,-56.15%,154,2.53%,2.53%,0.00%,19.12%,41.14%,2.13,-123.01%,-159.48,-2.66,-150.23%,37.82%,94.64%,43.79%,100
B07NF7MR14,Tetley,54,45,3,20,14.87,127.56,126.06,150.92,0,-25.09%,49,42.59%,42.59%,68.67%,100.00%,83.33%,3.36,-64.98%,-85.51,-2.25,-47.61%,15.50%,22.88%,77.50%,100
B005FBKVZ8,Dilmah,80,30,0,70,0,127.27,124.4,143.83,142.3,18.33%,80,0.00%,0.00%,0.00%,100.00%,37.50%,4.9,-15.27%,-19.86,-0.76,-12.24%,29.00%,32.55%,52.50%,82.5
B07NF6HR38,UNKNOWN,55,113,48,1516,54.1,126.75,125.95,137.6,0,17.14%,50,0.00%,0.00%,0.00%,100.00%,205.45%,1.23,-45.06%,-56.8,-0.55,8.41%,10.00%,9.16%,79.25%,75
B000WGE26A,Gerber,41,25,36,19,218.07,126.39,123.26,123.26,0,7.44%,41,0.00%,0.00%,0.00%,0.00%,60.98%,5.06,-16.61%,-21.06,-0.84,-19.82%,25.25%,30.25%,89.47%,83.3
B093YYK5DK,Nabati,55,42,0,272,0,124.29,123.27,123.28,0,-1.35%,46,0.00%,0.00%,14.29%,100.00%,76.36%,2.96,-24.21%,-30.6,-0.73,-28.79%,23.00%,29.62%,100.00%,85
B07NCYSD4M,Suntop,11,7,0,37,0,123.45,123.45,108.02,0,27.59%,11,0.00%,0.00%,0.00%,0.00%,63.64%,15.43,3.30%,4.18,0.52,19.55%,10.00%,8.05%,0.00%,62.5
B007TQG23C,Fruit Roll-Ups,29,16,0,32,0,122.39,122.66,122.69,0,54.85%,29,0.00%,0.00%,0.00%,0.00%,55.17%,7.65,24.58%,31.28,1.96,55.16%,0.00%,0.00%,100.00%,93.3
B091VQBBGW,American Garden,79,24,36,274,159.66,119.14,118.81,114.28,0,22.14%,68,0.00%,0.00%,100.00%,100.00%,30.38%,4.77,-8.23%,-10.19,-0.41,6.94%,18.50%,17.22%,57.14%,96.7
B07NF7MFKX,Tetley,6,12,0,216,0,116.67,113.81,113.84,0,9.32%,6,0.00%,0.00%,100.00%,100.00%,200.00%,9.72,-14.35%,-16.5,-1.38,1.09%,10.92%,10.80%,66.67%,98.5
B0CHF7Q4M2,Costa dÓro,43,8,0,51,0,114.55,110.73,99.27,0,30.00%,43,0.00%,0.00%,10.00%,100.00%,18.60%,12.73,10.92%,12.4,1.38,9.09%,26.67%,24.25%,0.00%,81.7
B019Z95UCO,General Mills,40,19,30,20,232.53,111.82,113.12,134.11,0,24.04%,31,27.50%,27.50%,0.00%,0.00%,47.50%,6.99,-15.81%,-17.36,-1.09,-10.91%,31.51%,34.94%,100.00%,77
B098S3TW7Q,La Molisana,58,45,4,336,10.07,110.75,104.09,116.96,0,26.22%,58,0.00%,0.00%,0.00%,100.00%,77.59%,2.77,-41.93%,-43.62,-1.09,9.05%,25.75%,23.42%,0.00%,61.5
B088FH4VG8,UNKNOWN,22,21,0,38,0,110.69,109.48,95.88,0,23.77%,21,0.00%,0.00%,100.00%,100.00%,95.45%,4.61,-15.14%,-17.3,-0.72,10.63%,15.91%,14.22%,61.90%,59.9
B0D2P6KRB1,Tata Soulfull,163,33,153,604,638.98,109.02,107.57,100.82,0,-16.27%,151,0.00%,0.00%,85.71%,100.00%,20.25%,3.03,-70.84%,-79.33,-2.2,-37.91%,15.91%,21.94%,52.32%,67.5
B0F793ZNSD,Barebells,68,3,0,1,0,107.62,107.62,107.62,0,28.74%,66,94.12%,94.12%,0.00%,100.00%,4.41%,35.87,22.72%,24.61,8.2,5.62%,24.50%,23.12%,100.00%,73
B0014CYR98,UNKNOWN,69,26,0,65,0,106.08,103.51,115.56,0,34.18%,68,0.00%,0.00%,15.00%,100.00%,37.68%,4.61,-7.60%,-8.2,-0.36,28.39%,10.93%,7.83%,46.27%,84.5
B07NF69CGR,Bundaberg,0,40,0,2380,0,105.8,103.83,103.83,0,-10.22%,0,0.00%,0.00%,0.00%,0.00%,0.00%,2.64,-38.85%,-41.73,-1.04,-18.37%,9.50%,11.25%,0.00%,0
B00BLK5E7W,Gerber,80,12,20,9,147.67,104.83,103.68,83.06,0,15.26%,57,32.50%,32.50%,24.00%,3.79%,15.00%,6.99,-15.46%,-16.52,-1.1,-5.65%,22.00%,23.24%,100.00%,95.8
B08GD1Z9PS,Tata,24,13,0,2,0,103.25,104.55,123.34,0,26.36%,24,20.83%,20.83%,100.00%,100.00%,54.17%,9.39,20.89%,22.54,2.05,12.43%,15.91%,13.93%,0.00%,87.5
B07CXJZVRR,General Mills,17,19,72,89,519.46,101.12,97.23,139.24,0,28.25%,17,0.00%,0.00%,0.00%,0.00%,111.76%,7.78,4.76%,4.75,0.37,7.25%,26.79%,24.85%,58.82%,94.5
B091VPBF8Q,American Garden,226,21,12,244,53.22,100.74,98.39,98.41,0,19.73%,214,0.00%,0.00%,100.00%,100.00%,9.29%,4.8,-18.24%,-18.91,-0.9,7.55%,18.50%,17.10%,22.75%,96.7
B07BYNX1P6,La Molisana,38,15,0,1951,0,100.73,95.88,67.83,0,58.65%,38,0.00%,0.00%,100.00%,100.00%,39.47%,3.87,24.34%,23.14,0.89,49.05%,29.30%,14.93%,39.47%,97
B09RWVXZ66,Lago,32,21,0,347,0,100.13,91.93,85.93,0,25.27%,32,0.00%,0.00%,0.00%,100.00%,65.63%,4.35,6.88%,6.46,0.28,12.45%,23.99%,21.01%,62.50%,76.7
B00ECGW40C,MARTINELLI'S,14,42,0,22,0,99.58,99.58,130.72,0,45.15%,14,0.00%,0.00%,0.00%,0.00%,300.00%,3.11,-34.75%,-22.48,-0.7,18.46%,32.73%,26.69%,71.43%,86
B0028UQ5VI,Gerber,36,23,228,206,1236.51,99.01,96.81,101.31,0,7.70%,33,0.00%,0.00%,0.00%,0.00%,63.89%,4.5,-22.02%,-22.21,-1.01,-20.51%,25.25%,30.43%,57.58%,94.2
B00RUCFLR8,Foster Clarks,309,156,0,1366,0,98.7,99.38,97.4,0,12.58%,290,0.00%,0.00%,4.93%,100.00%,50.49%,0.62,-103.97%,-113.88,-0.72,2.19%,10.91%,10.67%,22.78%,89.4
B00Q6I22DI,American Garden,104,30,68,175,203.83,98.36,94.4,88.6,0,15.79%,104,0.00%,0.00%,100.00%,100.00%,28.85%,3.07,-29.30%,-26.74,-0.84,2.48%,18.50%,18.04%,25.96%,93.7
B0861M1XS5,Suntop,4,2,6,12,74.49,97.24,97.24,64.82,0,64.25%,4,0.00%,0.00%,0.00%,100.00%,50.00%,32.41,50.77%,49.93,16.64,61.70%,6.67%,2.55%,100.00%,83
B0CD87Z6VY,Rhythm 108,13,24,0,79,0,94.92,88.96,115.2,0,26.87%,13,0.00%,0.00%,30.77%,100.00%,184.62%,5,5.63%,5.15,0.27,9.10%,27.64%,25.12%,0.00%,85.8
B0792L8SY6,Lotte,56,26,6,5,18.46,91.98,91.21,91.22,0,18.87%,53,17.86%,17.86%,59.50%,100.00%,46.43%,3.54,-7.15%,-6.65,-0.26,13.04%,10.90%,9.48%,0.00%,75
B08H6P5677,Mr Makhana,13,36,40,223,97.47,90.33,86.12,88.31,0,72.73%,12,0.00%,0.00%,100.00%,100.00%,276.92%,2.58,39.82%,35.4,1.01,5.59%,76.00%,71.75%,30.77%,78.2
B000R73XZ0,Bragg,52,22,72,48,377.34,88.7,89.01,106.75,0,-5.15%,49,13.46%,13.46%,22.22%,100.00%,42.31%,4.93,-50.08%,-47.98,-2.67,-6.35%,2.17%,2.31%,50.00%,95
B07HNSPY84,Dilmah,38,15,0,40,0,86.58,87.01,87.06,86.93,15.94%,38,0.00%,0.00%,0.00%,100.00%,39.47%,5.77,-8.91%,-7.87,-0.52,-18.40%,29.00%,34.33%,0.00%,81
B08VQMVBKG,Little Freddie,11,40,0,128,0,86.45,82.14,110.15,0,30.45%,10,0.00%,0.00%,88.57%,53.85%,363.64%,2.98,-3.49%,-3,-0.1,14.79%,24.22%,20.64%,80.00%,83.5
B07PKQH3R5,Loyal,190,30,2,50,7.3,86.01,84.55,92.74,0,22.62%,176,0.00%,0.00%,29.27%,100.00%,15.79%,3.31,-31.77%,-26.17,-1.01,-16.36%,34.95%,40.67%,39.13%,82.5
B0B82WSFTV,Mr Makhana,25,75,44,1456,47.32,82.7,77.22,77.24,0,69.97%,25,0.00%,0.00%,100.00%,100.00%,300.00%,1.1,12.11%,9.84,0.13,2.47%,76.00%,74.12%,36.00%,78.2
B087GK96DX,Rico,128,23,0,182,0,80.5,79.48,76.46,0,26.26%,127,0.00%,0.00%,0.00%,100.00%,17.97%,3.35,-30.45%,-23.5,-0.98,9.09%,23.00%,20.91%,0.00%,93.7
B00X9MYZXO,Bazooka,32,6,0,58,0,79.32,78.65,78.7,0,12.71%,32,0.00%,0.00%,11.32%,100.00%,18.75%,13.22,-5.55%,-4.42,-0.74,-11.20%,23.00%,25.58%,37.50%,95
B07Z7GQJBF,Costa dÓro,53,6,0,70,0,78.61,76.7,74.37,0,28.57%,48,0.00%,0.00%,21.35%,100.00%,11.32%,11.23,4.76%,3.75,0.54,9.09%,24.57%,22.34%,0.00%,84.2
B00DIREC0Q,La Molisana,26,29,0,539,0,77.86,69.8,78.5,0,21.95%,26,0.00%,0.00%,0.00%,100.00%,111.54%,2.99,-15.39%,-11.04,-0.42,9.09%,25.54%,23.22%,0.00%,81
B087GLRBJB,Caca,50,26,0,69,0,77.15,73.8,86.43,0,28.71%,42,0.00%,0.00%,0.00%,100.00%,52.00%,3.51,3.05%,2.28,0.1,13.04%,23.00%,20.00%,0.00%,80
B00L2ZK7CS,American Garden,32,22,88,182,296.84,77.03,74.39,74.39,0,18.06%,30,0.00%,0.00%,100.00%,100.00%,68.75%,3.5,-25.54%,-20.23,-0.92,3.65%,18.50%,17.82%,33.33%,97
B001OY2T1O,Gerber,54,14,59,27,319.97,76.32,76.97,67.43,0,15.01%,52,0.00%,0.00%,0.00%,0.00%,25.93%,4.77,-22.93%,-18.64,-1.17,-13.70%,25.25%,28.71%,88.24%,98.3
B081LFRBNG,Mr Makhana,41,67,0,778,0,74.98,72.15,71.34,0,67.61%,41,0.00%,0.00%,100.00%,100.00%,163.41%,1.1,4.38%,3.34,0.05,2.47%,72.65%,70.85%,48.78%,78.2
B015J4UYEI,Askeys,56,22,0,324,0,74.33,74.29,77.89,77.82,20.05%,56,0.00%,0.00%,0.00%,0.00%,39.29%,3.54,-31.27%,-24.4,-1.16,-11.92%,29.00%,32.46%,60.71%,95
B07MXFKJVH,La Molisana,23,37,0,235,0,73.51,63.72,98.02,0,23.19%,23,0.00%,0.00%,16.75%,100.00%,160.87%,3.06,-14.12%,-9.3,-0.39,13.07%,27.78%,24.15%,0.00%,92
B0D1HBJF5R,Barebells,57,2,1,0,33.86,73.12,73.12,73.13,0,30.08%,53,91.23%,91.23%,0.00%,100.00%,3.51%,36.56,22.04%,16.21,8.11,7.39%,24.50%,22.69%,0.00%,78
B094P139XJ,Red Band,44,36,0,167,0,72.73,73.15,67.91,0,41.21%,43,0.00%,0.00%,0.00%,4.86%,81.82%,1.86,-16.10%,-12.36,-0.32,32.85%,23.00%,15.45%,32.56%,78.7
B07NF7VR7Y,American Garden,28,19,20,81,73.02,72.68,70.5,70.5,0,16.97%,28,0.00%,0.00%,100.00%,100.00%,67.86%,3.83,-44.71%,-19.3,-1.02,4.56%,18.50%,17.66%,64.29%,89.4
B083VKPXV2,Sultan,8,6,0,5,0,72.61,72.01,72.01,0,40.02%,8,0.00%,0.00%,0.00%,100.00%,75.00%,12.1,21.05%,15.27,2.54,33.59%,10.94%,7.26%,0.00%,70
B087GMQGW7,Felfoldi,6,5,0,0,0,69.93,68.76,100.27,0,14.38%,5,16.67%,16.67%,100.00%,100.00%,83.33%,34.97,0.55%,0.38,0.19,-11.19%,24.51%,27.25%,100.00%,81.5
B07PKCQ275,Afia,72,16,75,375,281.37,69.42,67.19,63.12,0,14.94%,64,0.00%,0.00%,29.63%,100.00%,22.22%,4.08,-31.60%,-21.89,-1.29,8.13%,10.90%,10.02%,56.60%,75
B07NF8TFJW,Namakin,32,26,0,1,0,69.18,71.06,87.21,0,34.21%,31,28.13%,28.13%,2.21%,100.00%,81.25%,3.29,3.34%,2.49,0.12,17.36%,23.00%,19.01%,100.00%,78
B01L1DRF70,UNKNOWN,24,24,0,85,0,68.4,68.65,74.87,0,20.89%,24,8.33%,8.33%,100.00%,100.00%,100.00%,3.11,-16.39%,-11.91,-0.54,9.99%,17.59%,15.83%,58.33%,97
B07P68FGXQ,American Garden,34,56,0,104,0,67.14,60.44,56.23,0,10.36%,32,0.00%,0.00%,100.00%,100.00%,164.71%,1.14,-47.09%,-29.32,-0.5,2.63%,18.19%,17.71%,41.67%,96.2
