ASIN,Brand Name,GV(Week 1 ),Net Ordered Units(Week 1 ),Net Receipts (Units)(Week 1 ),Total Inventory Units(Week 1 ),Net Receipts($)(Week 1 ),Product GMS($)(Week 1 ),Gross Shipped GMS($)(Week 1 ),Net Ordered GMS($)(Week 1 ),Deal GMS($)(Week 1 ),Net PPM(Week 1 )(%),Amzn GV(Week 1 ),SoROOS(%)(Week 1 )(%),Daily SoRoos%(Week 1 )(%),Fill Rate - Sourceable(Week 1 )(%),Vendor Confirmation Rate - Sourceable(Week 1 )(%),Conversion Rate(Week 1 )(%),ASP(Week 1 ),CM(Week 1 )(%),CP($)(Week 1 ),CPPU(Week 1 ),PPM(Week 1 )(%),CCOGS As A % Of PCOGS(Week 1 )(%),CCOGS As A % Of Revenue(Week 1 )(%),External Box Price Competitiveness (% Of GV)(Week 1 )(%),IDQ Score(Week 1 )
B09P8GQ4TK,M.C. Trader,261,234,0,212,0,6534.03,6388.26,4711.39,0,39.40%,260,0.00%,0.00%,0.00%,0.00%,89.66%,20.74,23.30%,1465.4,4.65,16.00%,30.12%,25.30%,75.00%,92.5
B086DV7D1W,Vitamin Well,250,22,360,285,8586.75,2653.72,2617.01,650.78,0,33.94%,248,87.20%,87.20%,100.00%,100.00%,8.80%,28.53,20.71%,548.61,5.9,16.41%,22.50%,18.81%,99.60%,83.5
B07TDTX4R2,Barebells,185,61,0,320,0,2123.03,1900.14,1981.04,0,23.70%,175,0.00%,0.00%,31.63%,100.00%,32.97%,36.6,16.38%,313.98,5.41,7.51%,28.74%,26.58%,96.63%,93
B07X5MH1BM,Vitamin Well,223,69,0,335,0,1921.85,1885.49,1976.87,0,36.35%,220,0.00%,0.00%,100.00%,100.00%,30.94%,29.12,24.24%,470.93,7.14,18.09%,22.50%,18.43%,100.00%,63
B08MKX6G7G,Vitamin Well,139,65,48,87,1144.9,1854.42,1803.27,1833.75,0,33.74%,138,0.00%,0.00%,100.00%,100.00%,46.76%,28.98,22.17%,405.97,6.34,17.68%,22.50%,18.52%,59.56%,98.5
B015Y1GLK2,TILDA,964,216,25,3006,443.3,1799.85,1764.02,1908.75,957.45,16.38%,648,31.06%,31.06%,99.06%,100.00%,22.41%,9.28,-16.40%,-292.08,-1.51,-91.13%,57.53%,109.96%,89.17%,91.2
B08MBD4175,Vitamin Well,206,105,204,428,4865.83,1786.29,1546.02,1573.41,0,-20.94%,167,34.95%,34.95%,100.00%,100.00%,50.97%,17.18,-40.54%,-638.88,-6.14,-38.87%,22.50%,31.25%,65.90%,82
B07DLFZW31,Barebells,103,69,48,275,1171.3,1631.49,1527.22,1750.91,0,27.04%,101,0.00%,0.00%,0.00%,100.00%,66.99%,27.19,16.42%,254.19,4.24,10.26%,26.53%,23.81%,95.96%,100
B01L1QNQEI,Gowardhan,265,105,300,319,3675.42,1216.4,1159.15,1117.77,0,11.23%,255,0.00%,0.00%,14.08%,100.00%,39.62%,11.16,-19.48%,-218.51,-2,-9.78%,22.79%,25.02%,57.14%,98.3
B086DVXG5K,Vitamin Well,175,37,48,387,1144.9,1156.51,1148.98,1071.33,0,35.65%,175,0.00%,0.00%,100.00%,100.00%,21.14%,28.91,23.96%,279.64,6.99,17.50%,22.50%,18.56%,98.19%,88.5
B07M85KKJ4,Barebells,115,38,0,422,0,1116.5,960.21,1155.64,0,16.16%,110,0.00%,0.00%,16.67%,100.00%,33.04%,34.89,8.23%,80.25,2.51,2.96%,27.40%,26.59%,100.00%,98.5
B07MV32JLH,Afia,157,27,0,80,0,883.12,889.67,889.7,0,11.98%,153,0.00%,0.00%,96.49%,100.00%,17.20%,33.97,-3.08%,-26.69,-1.03,4.18%,10.61%,10.16%,100.00%,82.5
B07MHKBDJV,Barebells,95,28,0,168,0,856.54,796.89,760.81,0,33.32%,80,0.00%,0.00%,49.32%,100.00%,29.47%,27.63,20.86%,162.26,5.23,11.68%,32.38%,28.60%,97.47%,100
B072HWGV31,Barebells,59,18,40,220,1354.3,801.3,643.79,516.37,0,20.34%,59,0.00%,0.00%,100.00%,100.00%,30.51%,36.42,12.57%,82.48,3.75,7.04%,34.78%,32.33%,100.00%,98.5
B07DLCVM1H,Barebells,86,24,0,93,0,781.53,765.4,628.56,0,29.28%,85,0.00%,0.00%,75.00%,100.00%,27.91%,26.05,18.88%,146.24,4.87,6.33%,26.95%,25.25%,96.43%,100
B07P75SDV2,Al osra,236,187,0,774,0,649.98,630.6,681.68,0,-46.81%,233,0.00%,0.00%,101.49%,100.00%,79.24%,3.76,-172.39%,-896.84,-5.18,-61.23%,10.85%,17.50%,66.52%,82.9
B07G9KXXSN,TILDA,160,20,0,38,0,569.12,555.96,556.06,326.61,23.99%,159,0.00%,0.00%,0.00%,0.00%,12.50%,28.46,6.45%,36.3,1.81,-19.83%,38.50%,46.14%,100.00%,78.7
