ASIN,Brand Name,List Price($)(11/23/2025-11/30/2025),List Price($)(11/16/2025-11/23/2025),List Price($)(11/09/2025-11/16/2025),List Price($)(11/02/2025-11/09/2025),Product GMS($)(11/23/2025-11/30/2025),Product GMS($)(11/16/2025-11/23/2025),Product GMS($)(11/09/2025-11/16/2025),Product GMS($)(11/02/2025-11/09/2025),ASP(11/23/2025-11/30/2025),ASP(11/16/2025-11/23/2025),ASP(11/09/2025-11/16/2025),ASP(11/02/2025-11/09/2025),CM(11/23/2025-11/30/2025)(%),CM(11/16/2025-11/23/2025)(%),CM(11/09/2025-11/16/2025)(%),CM(11/02/2025-11/09/2025)(%),CP($)(11/23/2025-11/30/2025),CP($)(11/16/2025-11/23/2025),CP($)(11/09/2025-11/16/2025),CP($)(11/02/2025-11/09/2025),Net PPM(11/23/2025-11/30/2025)(%),Net PPM(11/16/2025-11/23/2025)(%),Net PPM(11/09/2025-11/16/2025)(%),Net PPM(11/02/2025-11/09/2025)(%),GV(11/23/2025-11/30/2025),GV(11/16/2025-11/23/2025),GV(11/09/2025-11/16/2025),GV(11/02/2025-11/09/2025),SoROOS(%)(11/23/2025-11/30/2025)(%),SoROOS(%)(11/16/2025-11/23/2025)(%),SoROOS(%)(11/09/2025-11/16/2025)(%),SoROOS(%)(11/02/2025-11/09/2025)(%),Vendor Confirmation Rate - Sourceable(11/23/2025-11/30/2025)(%),Vendor Confirmation Rate - Sourceable(11/16/2025-11/23/2025)(%),Vendor Confirmation Rate - Sourceable(11/09/2025-11/16/2025)(%),Vendor Confirmation Rate - Sourceable(11/02/2025-11/09/2025)(%),Fill Rate - Sourceable(11/23/2025-11/30/2025)(%),Fill Rate - Sourceable(11/16/2025-11/23/2025)(%),Fill Rate - Sourceable(11/09/2025-11/16/2025)(%),Fill Rate - Sourceable(11/02/2025-11/09/2025)(%),SELLABLE_ON_HAND_UNITS(11/23/2025-11/30/2025),SELLABLE_ON_HAND_UNITS(11/16/2025-11/23/2025),SELLABLE_ON_HAND_UNITS(11/09/2025-11/16/2025),SELLABLE_ON_HAND_UNITS(11/02/2025-11/09/2025),Total GMM($)(11/23/2025-11/30/2025),Total GMM($)(11/16/2025-11/23/2025),Total GMM($)(11/09/2025-11/16/2025),Total GMM($)(11/02/2025-11/09/2025),Net Receipts($)(11/23/2025-11/30/2025),Net Receipts($)(11/16/2025-11/23/2025),Net Receipts($)(11/09/2025-11/16/2025),Net Receipts($)(11/02/2025-11/09/2025),Net Receipts (Units)(11/23/2025-11/30/2025),Net Receipts (Units)(11/16/2025-11/23/2025),Net Receipts (Units)(11/09/2025-11/16/2025),Net Receipts (Units)(11/02/2025-11/09/2025),CCOGS As A % Of PCOGS(11/23/2025-11/30/2025)(%),CCOGS As A % Of PCOGS(11/16/2025-11/23/2025)(%),CCOGS As A % Of PCOGS(11/09/2025-11/16/2025)(%),CCOGS As A % Of PCOGS(11/02/2025-11/09/2025)(%),PPM(11/23/2025-11/30/2025)(%),PPM(11/16/2025-11/23/2025)(%),PPM(11/09/2025-11/16/2025)(%),PPM(11/02/2025-11/09/2025)(%),External Box Price Competitiveness (% Of GV)(11/23/2025-11/30/2025)(%),External Box Price Competitiveness (% Of GV)(11/16/2025-11/23/2025)(%),External Box Price Competitiveness (% Of GV)(11/09/2025-11/16/2025)(%),External Box Price Competitiveness (% Of GV)(11/02/2025-11/09/2025)(%),Amzn GV(11/23/2025-11/30/2025),Amzn GV(11/16/2025-11/23/2025),Amzn GV(11/09/2025-11/16/2025),Amzn GV(11/02/2025-11/09/2025),Customer Returns($)(11/23/2025-11/30/2025),Customer Returns($)(11/16/2025-11/23/2025),Customer Returns($)(11/09/2025-11/16/2025),Customer Returns($)(11/02/2025-11/09/2025),Daily SoRoos%(11/23/2025-11/30/2025)(%),Daily SoRoos%(11/16/2025-11/23/2025)(%),Daily SoRoos%(11/09/2025-11/16/2025)(%),Daily SoRoos%(11/02/2025-11/09/2025)(%),Net Ordered Units(11/23/2025-11/30/2025),Net Ordered Units(11/16/2025-11/23/2025),Net Ordered Units(11/09/2025-11/16/2025),Net Ordered Units(11/02/2025-11/09/2025)
B098S3TW7Q,La Molisana,2.77,2.77,2.77,2.77,160.59,199.35,177.20,119.06,2.77,2.77,2.77,2.77,(27.62)%,(31.34)%,(35.98)%,(40.20)%,-43.07,-62.06,-58.27,-45.59,25.55%,26.23%,27.27%,25.90%,80,112,97,95,0.00%,0.00%,0.00%,0.00%,100.00%,76.79%,100.00%,0.00%,83.72%,100.00%,100.00%,0.00%,1647,2024,2060,2436,0.00,0.00,0.00,0.00,0.00,171.25,0.00,0.00,0.00,68.00,0.00,0.00,24.90%,23.60%,24.21%,25.82%,9.05%,9.05%,9.05%,9.05%,0.00%,0.00%,0.00%,0.00%,80,112,97,95,0,0,0,0,0.00%,0.00%,0.00%,0.00%,58,75,58,46
B07MXFKJVH,La Molisana,3.06,3.06,3.06,3.06,148.91,114.16,157.37,127.03,1.82,2.04,2.22,2.76,(48.86)%,(49.38)%,(28.58)%,(20.68)%,-69.93,-52.83,-41.81,-23.86,25.58%,29.66%,36.42%,38.99%,101,91,84,63,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2270,2103,1069,585,0.00,0.00,0.00,0.00,69.23,670.98,511.23,0.00,26.00,252.00,192.00,0.00,53.34%,48.71%,50.42%,43.90%,(46.63)%,(30.61)%,(20.13)%,3.58%,0.00%,0.00%,0.00%,0.00%,99,91,84,63,0,0,0,0,0.00%,0.00%,0.00%,0.00%,81,57,55,39
B07NF8TFJW,Namakin,0.00,0.00,0.00,0.00,148.24,37.57,79.79,89.60,3.29,2.89,2.28,2.89,21.13%,17.44%,(4.61)%,(11.66)%,31.59,6.50,-3.04,-10.36,58.39%,51.59%,40.60%,46.37%,46,30,40,51,8.70%,36.67%,40.00%,15.69%,100.00%,100.00%,0.00%,100.00%,95.65%,99.03%,0.00%,100.00%,182,313,311,245,0.00,0.00,0.00,0.00,136.13,130.68,196.02,255.92,50.00,48.00,72.00,94.00,53.00%,53.00%,53.00%,47.52%,17.36%,5.78%,(19.42)%,5.80%,80.43%,89.66%,94.87%,77.08%,46,26,40,47,0,0,0,0,8.70%,36.67%,40.00%,15.69%,46,10,39,31
B0CB89CDSW,Candyland,10.27,10.27,10.27,10.27,144.76,41.36,27.57,30.80,6.89,6.89,6.89,10.27,83.61%,83.13%,73.48%,42.25%,121.73,34.38,10.72,13.12,97.91%,97.91%,100.19%,76.51%,23,15,12,7,0.00%,0.00%,0.00%,14.29%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,283,308,222,126,0.00,0.00,0.00,0.00,0.00,224.05,0.00,317.41,0.00,24.00,0.00,34.00,98.46%,98.46%,98.46%,76.00%,(35.43)%,(35.43)%,(35.43)%,9.07%,0.00%,0.00%,0.00%,0.00%,22,15,12,7,0,0,0,0,0.00%,0.00%,0.00%,14.29%,21,6,4,0
B094P139XJ,Red Band,1.38,1.38,1.38,1.38,141.43,106.98,12.69,3.63,1.81,1.81,1.81,1.81,6.55%,(5.48)%,(53.33)%,(40.68)%,9.46,-6.31,-7.15,-1.66,64.46%,58.93%,55.15%,46.82%,76,58,25,43,0.00%,6.90%,76.00%,76.74%,100.00%,100.00%,100.00%,100.00%,76.21%,83.89%,91.37%,100.00%,2929,2539,1273,352,0.00,0.00,0.00,0.00,210.40,423.30,95.18,194.12,168.00,338.00,76.00,155.00,53.07%,43.59%,39.22%,23.00%,30.93%,30.93%,30.93%,30.93%,37.84%,53.45%,96.00%,97.44%,74,58,23,37,0,0,0,0,0.00%,6.90%,76.00%,76.74%,74,56,16,7
B0881MS1FD,Americandy,3.07,3.07,3.07,3.07,141.39,122.95,129.10,51.56,3.07,3.07,3.07,3.03,(14.09)%,(9.14)%,(4.84)%,(32.96)%,-18.34,-11.33,-6.27,-16.81,24.74%,28.08%,26.80%,21.77%,133,107,101,62,0.00%,0.00%,0.00%,13.11%,0.00%,100.00%,0.00%,100.00%,0.00%,87.02%,0.00%,100.00%,2747,2568,2201,1129,0.00,0.00,0.00,0.00,0.00,360.34,145.25,756.99,0.00,129.00,52.00,271.00,22.98%,23.28%,23.26%,21.65%,9.12%,9.12%,9.12%,7.90%,0.00%,0.00%,0.00%,0.00%,130,107,101,62,0,0,0,0,0.00%,0.00%,0.00%,13.11%,46,41,42,14
B07BYNX1P6,La Molisana,2.17,2.17,2.17,2.17,138.63,274.89,270.57,276.57,4.08,4.04,2.65,2.58,45.41%,41.63%,20.62%,7.46%,62.43,110.92,52.86,20.56,74.75%,65.56%,57.76%,49.54%,52,92,99,128,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,104.55%,9499,8830,6043,6251,0.00,0.00,0.00,0.00,254.62,947.44,90.80,236.86,129.00,480.00,46.00,120.00,54.20%,39.09%,50.70%,40.95%,51.59%,51.17%,25.59%,23.64%,34.62%,53.26%,75.00%,62.50%,52,92,99,128,0,0,0,0,0.00%,0.00%,0.00%,0.00%,31,70,101,100
B093YXPPWS,Nabati,5.34,5.34,5.34,5.34,136.13,241.55,159.47,139.73,2.96,3.35,3.13,3.49,(11.25)%,3.27%,(4.12)%,(11.55)%,-15.52,8.03,-6.96,-15.71,34.43%,35.00%,37.69%,36.42%,114,143,140,156,8.77%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,97.14%,0.00%,82.22%,411,732,753,750,0.00,0.00,0.00,0.00,0.00,198.20,266.81,152.46,0.00,52.00,70.00,40.00,51.85%,44.67%,49.47%,43.00%,(28.79)%,(13.61)%,(21.90)%,(9.11)%,0.00%,0.00%,0.00%,0.00%,101,128,122,138,0,0,0,0,8.77%,0.00%,0.00%,0.00%,44,72,51,42
B087C7QD76,Little Freddie,2.79,2.79,2.79,2.79,134.15,47.70,77.51,65.59,2.98,2.98,2.98,2.98,19.74%,3.72%,16.67%,19.39%,26.16,1.80,12.74,13.42,52.03%,49.49%,44.33%,48.61%,48,49,36,35,0.00%,0.00%,8.33%,45.71%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,1367,1898,1497,24,0.00,0.00,0.00,0.00,0.00,0.00,889.04,60.96,0.00,0.00,350.00,24.00,49.76%,45.11%,39.61%,43.91%,14.79%,14.79%,14.79%,14.79%,100.00%,100.00%,100.00%,100.00%,48,49,33,35,0,0,0,0,0.00%,0.00%,8.33%,45.71%,37,24,31,27
B087GL45MC,Orion,5.87,5.87,5.87,5.87,124.96,45.82,33.85,145.20,4.17,4.17,4.23,4.68,(4.13)%,(6.20)%,(23.69)%,(3.28)%,-5.46,-2.91,-8.49,-4.86,30.07%,29.92%,30.66%,26.23%,83,52,92,142,1.20%,5.77%,10.87%,1.43%,0.00%,100.00%,0.00%,100.00%,0.00%,93.22%,0.00%,100.00%,678,815,776,494,0.00,0.00,0.00,0.00,0.00,400.76,93.93,807.77,0.00,64.00,15.00,129.00,53.44%,53.60%,53.31%,45.52%,(50.33)%,(50.33)%,(47.97)%,(33.69)%,100.00%,100.00%,100.00%,100.00%,76,51,75,139,0,0,0,0,1.20%,5.77%,10.87%,1.43%,29,11,6,30
